"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14"
"18","startups","frankreich","preis","analysten","trumps","zukunft","eigenkapital","muesse","spaeter","minus","verein","europaeischen","arbeitsmarkt","ministerpraesident"
"19","mittelstaendler","moskau","klimaschutz","rund","praesidenten","frage","markt","regelung","buch","fed","mannschaft","notenbanken","erwartet","sozialdemokraten"
"20","anbieter","may","kohle","konzerns","israel","politischen","kredite","kommunen","jahre","papiere","kunst","europaeische","prognose","wahl"
"21","telekom","russische","landwirtschaft","geschaeftsjahr","staaten","wissen","kapital","rente","junge","index","gaeste","waehrung","oekonomen","afd"
"22","software","europa","bauern","daimler","regierung","fragen","vermoegen","clement","geschichte","aktienmaerkte","messen","usa","nachfrage","wahlkampf"
"23","unternehmer","pfund","produktion","bayer","donald","marktwirtschaft","renditen","gesetzlichen","kind","experten","liga","waehrungsunion","weltwirtschaft","bundestagswahl"
"24","geschaeft","referendum","foerderung","vw","amerikanischen","beispiel","immobilie","gewerkschaft","tag","rendite","koeln","schulden","erholung","bundestag"
"25","produkte","ukraine","liter","volkswagen","uspraesident","bevoelkerung","sparer","fordert","zeit","quartal","euro","zinssenkung","bip","opposition"
"26","chef","polen","industrie","aktionaere","demokraten","brauchen","commerzbank","vorschlag","jungen","woche","mark","finanzmaerkte","firmen","berlin"
"27","arbeiten","praesident","jahr","verkauf","russland","sicherheit","mieter","duerfen","schule","leitindex","besucher","krise","befragten","gabriel"
"28","berater","union","erneuerbare","dollar","new","denken","risiko","betriebe","sohn","maerkte","touristen","rezession","anstieg","liberalen"
"29","gruender","landes","klimawandel","lufthansa","afghanistan","verantwortung","bafin","verfahren","kindern","wall","universitaeten","kredite","kommenden","merkels"
"30","deutschland","austritt","anlagen","ersten","republikaner","wissenschaft","anleihen","regelungen","macht","plus","universitaet","wachstum","rechnet","gerhard"
"31","beispiel","italien","nachfrage","ergebnis","welt","bildung","institute","regierung","hause","morgan","hochschule","maerkte","verbraucher","bayern"
"32","amazon","berlusconi","oelpreis","konzernchef","dollar","wohlstand","mieten","deutschland","alt","dow","klubs","staaten","plus","amt"
"33","markt","koenigreich","kosten","thyssenkrupp","chinesen","recht","private","entwurf","job","freitag","geschaeftsfuehrer","waehrungsfonds","vorjahr","politik"
"34","geschaeftsfuehrer","johnson","dollar","sap","xi","zeit","immobilienfonds","bahn","alten","street","sport","oekonomen","prognosen","linken"
"35","facebook","russlands","ausbau","konkurrenten","george","politische","frankfurt","handelsblatt","uhr","markt","hotels","leitzinsen","monaten","mehrheit"
"36","mittelstand","sarkozy","gold","branche","hongkong","gerade","kaeufer","bundestag","arbeit","boersianer","quadratmeter","wirtschaft","zahl","westerwelle"
"37","management","premierminister","branche","bmw","soldaten","herr","wirecard","union","sitzt","gewinne","bundesliga","geld","rechnen","regierung"
"38","familienunternehmen","cameron","erdgas","operative","amerikanische","macht","investieren","urteil","kirche","anlegern","reisen","anleihen","exporte","gruene"
"39","nutzer","grossbritanniens","wasser","vorjahr","amerikas","system","finanzkrise","koalition","bisschen","haendler","fans","japan","umfrage","ministerpraesidenten"
"40","informationen","insel","bau","hersteller","york","arbeit","versicherungen","betroffenen","gibt","renditen","  ","regierung","gestiegen","linke"
"41","computer","argentinien","umwelt","operativen","region","glaube","banker","geplante","liebe","staatsanleihen","veranstalter","leitzins","bruttoinlandsprodukt","soeder"
"42","nutzen","europaeische","bp","kunden","nato","geht","branche","kosten","film","usnotenbank","senat","finanzmaerkten","erwarten","umfragen"
"43","technik","ungarn","cent","zahlen","sanktionen","verstehen","deutschen","milliarden","konnte","fiel","hotel","yen","stimmung","muentefering"
"44","apple","politische","wind","boerse","westen","vertrauen","investment","sprecher","alte","aktienindex","veranstaltungen","europa","china","kohl"
"45","intelligenz","frankreichs","rund","autos","syrien","rolle","allianz","gesetzentwurf","frueher","aktienkurse","klub","trichet","zweiten","bundeskanzlerin"
"46","berger","verhandlungen","energieversorgung","ag","vereinigten","politiker","hedgefonds","mindestlohn","haus","zinsen","hannover","finanzminister","minus","schaeuble"
"47","gibt","eustaaten","hersteller","boersengang","barack","angst","investiert","bundes","stunden","titel","bachelor","konjunktur","vergangenen","bundeskanzler"
"48","netz","erdogan","grad","unternehmens","landes","buch","ertraege","bundesrat","beruf","fondsmanager","tourismus","bank","halbjahr","stimmen"
"49","neuen","brasilien","rohstoffe","vergangenen","clinton","gesellschaftlichen","anbieter","gesetzgeber","geht","aktienmaerkten","aussteller","weltwirtschaft","duerfte","macron"
"50","microsoft","paris","markt","aufsichtsrat","europaeer","generation","vermieter","massnahmen","kunst","notierte","hansestadt","risiken","stark","scholz"
"51","innovationen","theresa","millionen","hauptversammlung","arabischen","richtig","jahren","bundesfinanzminister","angst","vergangenen","dortmund","bernanke","arbeitslosigkeit","minister"
"52","deutschen","regierungschef","megawatt","fusion","beziehungen","autor","kredit","forderung","lebt","euro","hoeness","greenspan","vergleich","steinbrueck"
"53","deutsche","konservativen","erdoel","bank","indien","entscheidungen","investmentbanking","forderte","gefuehl","commerzbank","bremen","spanien","ersten","schulz"
"54","business","kommission","kohlendioxid","vorstand","armee","aufgabe","kaufen","gesetzliche","kopf","mdax","gmbh","notenbanker","lage","fraktion"
"55","industrie","praesidenten","netz","verlust","gewalt","darf","privatanleger","laender","gerne","erwartet","absolventen","duisenberg","wirtschaftsforschung","politischen"
"56","werbung","eukommission","erde","mitarbeiter","nordkorea","kapitalismus","privaten","vorschlaege","gut","verlor","flughafen","finanzkrise","wirtschaftswachstum","merz"
"57","siemens","franzosen","kernenergie","air","weissen","kultur","beispielsweise","rentenversicherung","bilder","analyst","kuenstler","zinssenkungen","eurozone","horst"
"58","technologien","hollande","eeg","basf","putin","oekonomischen","anlegern","patienten","fragt","jones","spiele","milliarden","usa","kanzleramt"
"59","ag","abkommen","tonne","halbjahr","w","braucht","bieten","gericht","maedchen","zaehler","vereine","griechischen","wirtschaftsleistung","laschet"
"60","beratung","politischen","versorger","dividende","nahen","integration","ackermann","arbeitsplaetze","erinnert","erholung","spielen","usnotenbank","steigen","parteichef"
"61","partner","premierministerin","emissionen","airbus","volksrepublik","debatte","kapitalmarkt","kassen","mensch","donnerstag","muenchner","regierungen","institut","parteitag"
"62","online","regierungschefs","jahren","porsche","terror","institutionen","preise","kritisierte","namen","konjunkturdaten","schueler","chefvolkswirt","jahres","gewaehlt"
"63","gerade","chirac","autos","kaeser","europa","lernen","eigentuemer","regeln","strasse","kurs","master","inflationsrate","punkte","linkspartei"
"64","konzerne","sozialisten","benzin","aktienkurs","terroristen","geschichte","kfw","arbeitsmarkt","lang","bundesanleihen","urlauber","bundesbank","branchen","sonntag"
"65","technologie","mehrheit","deutschland","autobauer","militaerische","jahrhundert","unternehmen","heisst","geboren","unternehmen","wm","griechenlands","rund","edmund"
"66","kommunikation","wladimir","energiepolitik","sparte","fuehrung","grenzen","darlehen","koenne","roman","goldman","league","zentralbanken","trotz","lindner"
"67","unternehmensberatung","franzoesischen","lebensmittel","gesamtjahr","politische","ordnung","geldanlage","finanzminister","musik","jp","tui","griechische","insgesamt","wahlen"
"68","beispielsweise","europas","erwaermung","opel","terrorismus","begriff","lebensversicherung","geplanten","tod","dienstag","hsv","ezbpraesident","niveau","landtag"
"69","studie","spanien","kilometer","markt","osten","handeln","wertpapiere","oeffentlichen","ging","deutlich","stuttgart","preisstabilitaet","export","steinmeier"
"70","job","tuerkische","kuenast","tochter","teheran","finden","geschaeft","eukommission","karriere","rund","uni","waehrungshueter","gesunken","landtagswahl"
"71","silicon","beitritt","tiere","analyst","wto","veraenderungen","produkte","cdu","lesen","maerkten","zwei","deflation","aussichten","koalitionspartner"
"72","heute","partei","shell","abschreibungen","frieden","gefuehl","investments","bdi","all","new","platz","athen","folge","kandidaten"
"73","kollegen","wahlen","atomkraftwerke","knapp","westlichen","laesst","wert","mrd","wissen","stimmung","bau","portugal","wirtschaftliche","rotgruen"
"74","thema","de","landwirte","management","biden","interessen","finanzaufsicht","einfuehrung","reden","goldpreis","team","ezbrat","konjunkturelle","politiker"
"75","arbeitgeber","bruesseler","gruene","uebernahmen","kim","schaffen","institut","umsetzung","gern","verloren","wohnungen","laender","einbruch","abgeordneten"
"76","wettbewerb","londoner","e","gm","saudiarabien","gesellschaftliche","laufzeit","kritik","art","bonds","sponsoren","euros","einzelhandel","politische"
"77","haeufig","tuerkischen","energiewirtschaft","stieg","mexiko","ueberhaupt","ikb","gutachten","essen","verluste","semester","massnahmen","konsumenten","regieren"
"78","kunde","iwf","bundesregierung","erwartet","kongress","jahrhunderts","portfolio","beitraege","kennt","stieg","schulen","liquiditaet","studie","buendnis"
"79","cloud","aussenminister","iea","finanzvorstand","regime","falsch","jain","kuendigungsschutz","gesagt","notenbanken","stadion","federal","volkswirte","rede"
"80","chefs","madrid","mengen","weltweit","militaer","probleme","miete","hartz","wort","erwarten","sommer","irland","erwartungen","debatte"
"81","maschinen","opposition","stromerzeugung","insgesamt","suedkorea","fuehrt","verkauf","darf","augen","mittwoch","frankfurt","mario","oecd","bundesregierung"
"82","bereich","italiens","kernkraftwerke","gestern","krieges","gerechtigkeit","bonitaet","rechtsunsicherheit","the","duerften","rund","schaeuble","wachsen","helmut"
"83","valley","franzoesische","stream","kosten","militaerischen","oekonomische","deutsche","aerzte","freunde","unsicherheit","studierenden","geldpolitischen","zuwachs","wirtschaftsminister"
"84","media","juncker","mill","verkauft","obamas","forschung","hohe","erhalten","glueck","duerfte","schalke","erholung","volkswirtschaft","buergermeister"
"85","produkt","binnenmarkt","betreiber","teilte","saddam","herausforderungen","landesbanken","millionen","schueler","oelpreis","nuernberg","uswirtschaft","haushalte","fischer"
"86","bertelsmann","reformen","emissionshandel","fahrzeuge","politischen","wissenschaftler","transaktionen","wirtschaftsminister","gesicht","stand","drei","griechen","staerker","konservativen"
"87","innovation","wirtschaft","fass","finanzchef","demokratie","weise","geldhaeuser","hans","kleine","zaehlern","berlins","senken","produktion","berliner"
"88","mittelstaendische","russen","fleisch","loescher","jinping","ungleichheit","aktienfonds","vorgaben","stolz","zehnjaehrigen","veranstaltung","reformen","steigende","kabinett"
"89","vorstand","neuwahlen","nord","airlines","westliche","dinge","immobilienmarkt","fordern","geld","uswirtschaft","galerie","eurolaender","einschaetzung","themen"
"90","aufsichtsrat","boris","fukushima","gut","nationen","fortschritt","kauf","minister","familien","marke","polizei","glaeubiger","diw","nordrheinwestfalen"
"91","sap","putins","erneuerbarer","manager","usregierung","wandel","makler","forderungen","los","geldpolitik","duesseldorf","weidmann","privaten","ruettgers"
"92","it","tories","kohlekraftwerke","fluggesellschaft","islamischen","problem","beispiel","fall","erzaehlen","markets","olympischen","lagarde","bruttoinlandsprodukts","wulff"
"93","startup","monti","investitionen","chrysler","asien","glauben","regel","bundesagentur","gemacht","wert","thomas","geldmenge","leicht","schroeders"
"94","gmbh","england","teyssen","steuern","afrika","neue","finanzierung","beschlossen","ddr","montag","galerien","reserve","sank","wolfgang"
"95","geht","korruption","rohoel","marken","aegypten","idee","kosten","arbeitslosen","arbeiten","knapp","kunstmarkt","unsicherheit","zahlen","franz"
"96","geraete","stimmen","stromversorgung","muenchener","iranischen","werte","wohnung","rentner","wusste","indizes","hamburgs","notenbankchef","optimismus","parlament"
"97","anbieten","europaeer","atomkraft","audi","pakistan","einzelnen","milliarden","kritisiert","draussen","gestiegen","urlaub","eurostaaten","vormonat","mueller"
"98","arbeitet","parteien","weltweit","laufenden","taliban","moderne","konditionen","behoerden","lehrer","kursen","gebaeude","zinserhoehung","ausland","pds"
"99","weltweit","auslaendische","versorgungssicherheit","absatz","verbuendeten","mensch","gibt","ministerium","buero","kursgewinne","tuerkei","japans","ausgaben","spdchef"
"100","stellen","brown","klima","monaten","konflikt","fehler","grossbanken","industrie","irgendwann","china","spiel","finanzsystem","dihk","buerger"
"101","fragen","kontinent","energieagentur","marke","kampf","bedeutet","krediten","solle","maennern","vermoegensverwalter","pro","gefahr","preise","muesse"
"102","digital","kreml","saudiarabien","deutlich","moskau","mag","kunde","vorhaben","schoen","stanley","meter","vertrauen","abschwung","koch"
"103","gute","finanzminister","pflanzen","belegschaft","john","bundesrepublik","muenchen","klage","publikum","york","professoren","euroland","experten","bundespraesident"
"104","buero","verfassung","china","ebit","nation","politisch","quadratmeter","haushalt","schriftsteller","strategen","leipzig","investoren","konjunkturellen","roesler"
"105","post","abstimmung","meter","bilanz","japan","aengste","westlb","staat","jahren","hsbc","ausbildung","volkswirte","beschaeftigung","waehlen"
"106","technischen","irland","strompreise","rechnet","partei","entwicklung","hohen","beschaeftigung","mag","konjunktur","hauptstadt","anleihekaeufe","gegenueber","csuchef"
"107","umsatz","mrd","energietraeger","prognose","internationalen","realitaet","verluste","behoerde","ersten","deutsche","studiengaenge","esm","durchschnitt","rotgruenen"
"108","belegschaft","konservative","betrieb","drei","vereinten","sozialer","landesbank","zusaetzliche","abend","sachs","champions","maerkten","instituts","kritik"
"109","betrieb","ankara","kupfer","general","iranische","bedeutung","zehn","staatliche","arbeitet","gestern","a","oekonom","krise","landtagswahlen"
"110","wirtschaftspruefer","ministerpraesident","fahrzeuge","erwirtschaftet","internationale","antwort","basel","steuer","alter","stoxx","borussia","wechselkurs","dritten","koehler"
"111","schnell","umfragen","reaktoren","wegen","taiwan","sinne","lebensversicherungen","foerderung","zwei","usdollar","studieren","waehrungen","laut","wolle"
"112","kuenstliche","blair","produzieren","minus","truppen","umgang","dresdner","krankenkassen","laesst","stark","bundesweit","verschuldung","trend","lafontaine"
"113","meist","deal","anlage","aktionaeren","li","eigene","versicherungswirtschaft","koalitionsvertrag","freund","nachmittag","sammler","basispunkte","branche","beck"
"114","geschaeftsmodelle","kiew","vattenfall","wettbewerber","aussenpolitik","geworden","rating","vorliegt","generation","nasdaq","teams","washington","steigenden","sigmar"
"115","gut","staatspraesident","produkte","monsanto","israels","strukturen","verkaufen","wolfgang","gott","s","bewerber","institute","laufenden","abgeordnete"
"116","mittelstaendischen","mitgliedstaaten","kilowattstunde","marktfuehrer","waffen","wirklichkeit","gebuehren","zahlen","heimat","anstieg","besuchern","amerikanischen","naechsten","gegner"
"117","sat","staaten","gentechnik","umsatzes","abkommen","leute","kreditinstitute","hoehe","sitzen","merrill","barcelona","amerikanische","prozentpunkte","reformen"
"118","geschaeftsmodell","schottland","wasserstoff","produktion","pekings","art","mrd","vorschriften","tun","kursverluste","abgesagt","italiens","milliarden","fraktionschef"
"119","rtl","beziehungen","zehn","henkel","demokratischen","fuehren","verkauft","bundeswirtschaftsminister","dinge","lag","stattfinden","ezbchef","ausfuhren","thema"
"120","wissen","lateinamerika","produzenten","zukaeufe","volk","fluechtlinge","equity","iv","minuten","steigen","spanien","japanische","stieg","grosse"
"121","verlage","moskauer","klimawandels","vorjahreszeitraum","september","oekonomie","investmentfonds","arbeitslosengeld","tochter","asset","mio","jeanclaude","prognostiziert","legislaturperiode"
"122","hersteller","abgeordneten","autofahrer","laufende","strafzoelle","besteht","haeuser","arbeitslose","kollegen","steigende","flaeche","italienische","vierten","kandidat"
"123","netzwerk","barroso","fossilen","kuendigte","uspraesidenten","mittelschicht","einlagen","steuerreform","journalisten","p","st","of","lag","finanzminister"
"124","branchen","gazprom","windkraft","marktanteil","zoelle","zeiten","anlage","schmidt","lebens","zugelegt","plaetze","wirtschaftswachstum","maschinenbau","gesagt"
"125","kleine","labour","umweltminister","erloese","anschlaege","fehlt","anteil","hundt","findet","legte","gebaut","tsipras","unsicherheiten","guido"
"126","datenschutz","david","energiekonzerne","autoindustrie","bushs","diskussion","erwirtschaften","richter","steht","lynch","buergermeister","wirtschaftsleistung","kurzarbeit","aussenminister"
"127","konkurrenz","  ","energy","nettogewinn","auslaendische","sinn","estate","aenderungen","lieber","investment","staedte","billionen","weltkonjunktur","frau"
"128","erfolg","einigung","jaehrlich","winterkorn","anschlaegen","erfolg","vermoegensverwaltung","steuern","gerade","monaten","projekt","italienischen","jahren","vorsitzenden"
"129","roland","medwedjew","sonne","angaben","reich","reformen","anlegen","gesetzlich","fernsehen","schwellenlaendern","reiseveranstalter","zinsschritt","zulegen","ruecktritt"
"130","angebote","spanischen","kraftwerken","steigern","weisse","weit","wohnen","lohn","fand","wochen","vereins","schuldenkrise","laendern","waehlern"
"131","service","rumaenien","schiffe","hiess","amerikanern","chance","niedrigen","streit","buecher","fielen","werder","land","sechs","generalsekretaer"
"132","ideen","griechenland","stahl","dritten","bevoelkerung","all","jahr","verdi","deutsch","nachrichten","teilnehmer","japanischen","optimistisch","reihen"
"133","arbeit","rom","atomausstieg","milliarde","hussein","verhalten","haus","pruefen","bild","gemeinschaftswaehrung","angebot","kreditvergabe","binnennachfrage","nrw"
"134","standort","wahl","wald","mitarbeitern","bagdad","ideen","jahre","buerger","nacht","talfahrt","koelner","staatsverschuldung","ifoinstitut","land"
"135","genau","slowakei","region","metro","haus","wettbewerb","lebensversicherer","bundesverband","klingt","steigenden","arena","finanzpolitik","belebung","innenminister"
"136","produkten","parlamentswahlen","hektar","anteile","israelischen","herausforderung","finanzbranche","beschaeftigte","kultur","finanzmaerkten","ag","geldpolitische","einkommen","badenwuerttemberg"
"137","konkurrenten","josé","gruenen","angekuendigt","hauptstadt","genau","hoehere","erbschaftsteuer","tage","meint","flaechen","gesenkt","wachstums","hessen"
"138","ki","brexits","gebaut","sank","chinesischer","oeffentlichkeit","ubs","zeitarbeit","kurz","yen","kiel","schuldenschnitt","daten","runde"
"139","knowhow","sanktionen","winter","boeing","polizei","form","liquiditaet","kompromiss","leuten","stiegen","deutschen","eurokrise","bundesregierung","regiert"
"140","bietet","investoren","opel","groesste","westens","antworten","papiere","bundeslaender","geworden","unten","fach","alan","positive","christdemokraten"
"141","qualitaet","euaustritt","teurer","autohersteller","korruption","loesen","objekte","hiess","verlag","bundesanleihe","stiftung","niedrigen","zeigt","juergen"
"142","befragten","polnischen","pipeline","plus","russischen","medien","erzielen","klagen","bruder","dz","ausstellungen","lage","gfk","niederlage"
"143","gegruendet","vereinigte","gigawatt","kapitalerhoehung","demokratische","gegenteil","verbraucherschuetzer","antrag","kennen","notiert","abitur","internationalen","angesichts","huber"
"144","konzern","nationalen","bse","continental","kerry","laendern","vermoegensverwalter","wirtschaft","welt","positive","premiere","strukturreformen","knapp","bayerische"
"145","team","tschechien","milch","groessten","sieg","vielmehr","verbraucherzentrale","einnahmen","sprache","handel","jahr","sitzung","gewachsen","fluechtlinge"
"146","plattform","italienische","eegumlage","verkaufen","yuan","generationen","geldhaus","loesung","polizei","rezession","fifa","volkswirtschaften","sinken","volkspartei"
"147","dienstleistungen","waehrung","atomenergie","lag","irakischen","erleben","langfristig","plaene","lange","unternehmensanleihen","bewerbung","folgen","arbeitslosenquote","bund"
"148","marketing","vertrag","nordsee","umsaetze","fuehrer","erkennen","real","gesetzes","dorf","waehrungen","business","erhoehen","duerften","regierungschef"
"149","vertrieb","nordirland","teuer","geplant","russische","sozial","versicherung","ausgaben","erste","fonds","van","stabilitaet","september","wowereit"
"150","entwickeln","unterhaus","preisen","neun","pekinger","funktioniert","anlagen","betonte","begann","juengsten","schleswigholstein","defizit","stagnation","liberale"
"151","investieren","nicolas","afrika","trotz","bedrohung","erfahrungen","beteiligungen","altmaier","jugend","tecdax","zahl","probleme","wachstumsraten","kurt"
"152","beschaeftigten","minister","anteil","kerngeschaeft","republikanischen","solidaritaet","riesterrente","gebe","auto","kletterte","uldall","niedrig","bundesamt","frage"
"153","beschaeftigt","zollunion","oekologischen","allianz","russen","fuehlen","gesellschaften","gefordert","ort","investmentbank","vertrag","efsf","positiven","vorsitzende"
"154","taetig","waehrungsfonds","kunden","bosch","sicherheit","grosse","anleihe","recht","faehrt","feinunze","qualitaet","stark","aktuelle","links"
"155","ingenieure","schweiz","golf","zweiten","amerikanischer","geben","zins","abschaffung","studiert","waehrung","cook","pleite","zuversicht","reden"
"156","homeoffice","le","windparks","legte","kabul","entwickeln","aktionaere","warnte","hoert","notenbank","arbeiten","null","unsicherheit","krampkarrenbauer"
"157","springer","unabhaengigkeit","mio","ende","angriff","diejenigen","mietendeckel","arbeitnehmern","geschrieben","vortag","studiums","bundesbankpraesident","unten","guttenberg"
"158","managern","italiener","handel","eads","uhr","parteien","geschaeftsfuehrer","ba","spricht","landesbank","christian","politik","laufende","fluechtlingspolitik"
"159","kirch","westen","technologien","geschaefte","konflikte","oeffentlichen","summe","zahl","erlebt","marktteilnehmer","reisewarnung","staatsschulden","april","sachsen"
"160","unternehmensberater","woche","kernkraft","holding","kalten","stimmt","angebot","moeglich","dachte","zentralbank","ort","spielraum","zew","neuwahlen"
"161","erfahrung","silvio","erderwaermung","konkurrenz","demonstranten","theorie","raet","bruessel","schrieb","quartalszahlen","professor","donnerstag","statistische","sozialdemokratischen"
"162","bitkom","verbleib","automobilindustrie","kauf","laender","land","meist","verordnung","wirkt","rechnen","museen","preise","drei","volksparteien"
"163","erfolgreich","mexiko","kanada","erklaerte","schanghai","wirtschaftlichen","postbank","steuereinnahmen","fotos","schwankungen","geld","volkswirtschaft","positiv","bayerischen"
"164","entwickelt","françois","mais","fuenf","treffen","armut","rund","vorstoss","wohnung","management","kostet","schwellenlaender","statistischen","schwarzgelb"
"165","plattformen","osteuropa","meer","abgelaufenen","islamisten","politischer","alter","csu","gehoert","positiv","foto","zins","kraeftig","beust"
"166","dienstleister","athen","windenergie","eon","wall","jahrzehnte","kreditvergabe","sprecherin","moechte","erwartungen","berichtet","steigen","iw","anhaenger"
"167","eigene","italienischen","kueste","oracle","irans","themen","hoehe","einkommen","herum","schwellenlaender","hafen","krediten","schwache","clement"
"168","mckinsey","la","oelpreise","konnte","millionen","these","depot","gelten","leser","zehnjaehrige","halle","lockerung","januar","agenda"
"169","prozesse","unsicherheit","venezuela","konkurrent","transatlantischen","natur","aufseher","erklaerte","sah","stratege","region","vereinigten","institute","genossen"
"170","moeglichkeiten","warschau","stadtwerke","handelsblatt","shanghai","vergangenheit","frankfurter","erhoehung","ziemlich","eurozone","spielern","fedchef","oelpreis","nahles"
"171","technische","auslaendischen","energieversorger","konzerne","diktator","verstaendnis","fuenf","bundesverfassungsgericht","gelernt","legten","dresden","fiskalpolitik","hohe","stimme"
"172","muenchen","mays","japan","gewinnwarnung","indonesien","loesungen","gerade","steinbrueck","machte","europaeischen","olympia","franken","wachstumsprognose","nachfolger"
"173","personal","bulgarien","studie","beteiligung","hillary","lassen","gewinne","betrieben","morgen","capital","angaben","lehman","auswirkungen","konservative"
"174","bieten","waehler","neue","zetsche","aussenminister","wirtschaft","privatkundengeschaeft","beschluss","satz","bewertet","architekten","chefoekonom","jahreshaelfte","delegierten"
"175","zukunft","harten","oekostrom","ebitda","scharon","professor","deutlich","entscheidung","lernen","depot","brandenburg","issing","handelsblatt","verantwortung"
"176","dienste","politisch","rohstoffen","kurs","handelskrieg","perspektive","vergangenen","arbeitgebern","stunde","inflation","start","risiko","liegt","peer"
"177","arbeitsplatz","istanbul","gefoerdert","diesel","buergerkrieg","funktionieren","experten","praxis","literatur","gaben","walter","kurs","gesamtjahr","kanzlerkandidat"
"178","innovative","laender","energiebranche","airline","israelische","letztlich","fall","schaeuble","spass","edelmetall","bvb","bankensystem","hierzulande","friedrich"
"179","handelsblatt","amt","angaben","motors","weltkrieg","entsteht","zertifikate","verbaende","traegt","groessten","art","kapital","index","streit"
"180","consulting","eumitgliedschaft","projekt","toyota","israelis","wahrheit","emittenten","arbeiten","hoeren","usboersen","madrid","tokio","handel","grossen"
"181","krise","eugipfel","tankstellen","umbau","tuerkei","zweitens","sparkasse","vorgesehen","liess","kgv","sothebys","prozentpunkt","anteil","roettgen"
"182","marken","polnische","gentechnisch","flugzeuge","irakkrieg","gesellschaften","kreditwirtschaft","dihk","morgens","hoeher","studierende","verhindern","impulse","demokratie"
"183","fuehrungskraeften","berlusconis","welt","aufsichtsratschef","globalen","modernen","leasing","bundeshaushalt","geschichten","ausblick","chemnitz","turbulenzen","hohen","zustimmung"
"184","app","parlaments","klimapolitik","verluste","islam","leisten","laut","vereinbart","her","emerging","sportlichen","europaeer","private","niedersachsen"
"185","wettbewerber","maerz","verbrauch","group","arabische","sprache","policen","vorsitzende","stimme","ubs","handelskammer","anstieg","zurueckgegangen","bayerns"
"186","duesseldorf","rubel","windraeder","jahres","wahl","stellen","vergleich","gemeinden","wollten","kraeftig","de","rom","wegen","bundeswehr"
"187","zeit","sieg","produziert","margen","wahlen","gehoert","verdienen","ii","fahren","erneut","unis","hoehere","dynamik","fluechtlingskrise"
"188","finden","internationalen","kapazitaeten","ausblick","trade","europas","tabelle","leistungen","abends","gefallen","uhr","wim","umsaetze","koalitionsverhandlungen"
"189","verdienen","vereinigten","nutzung","groesster","freihandel","richtige","vorstand","aenderung","wasser","notierten","fliegen","erwartet","deutschlands","cduchefin"
"190","lieferanten","region","roettgen","post","palaestinenser","debatten","bayernlb","mitarbeiter","schaut","bewertungen","merckle","bruttoinlandsprodukts","gewerbe","sozialdemokratie"
"191","brauchen","spaniens","bundesumweltminister","chef","street","erklaeren","regulierung","senken","beginnt","korrektur","airlines","oelpreis","inland","rotgruene"
