"","2001-01-01","2001-04-01","2001-07-01","2001-10-01","2002-01-01","2002-04-01","2002-07-01","2002-10-01","2003-01-01","2003-04-01","2003-07-01","2003-10-01","2004-01-01","2004-04-01","2004-07-01","2004-10-01","2005-01-01","2005-04-01","2005-07-01","2005-10-01","2006-01-01","2006-04-01","2006-07-01","2006-10-01","2007-01-01","2007-04-01","2007-07-01","2007-10-01","2008-01-01","2008-04-01","2008-07-01","2008-10-01","2009-01-01","2009-04-01","2009-07-01","2009-10-01","2010-01-01","2010-04-01","2010-07-01","2010-10-01","2011-01-01","2011-04-01","2011-07-01","2011-10-01","2012-01-01","2012-04-01","2012-07-01","2012-10-01","2013-01-01","2013-04-01","2013-07-01","2013-10-01","2014-01-01","2014-04-01","2014-07-01","2014-10-01","2015-01-01","2015-04-01","2015-07-01","2015-10-01","2016-01-01","2016-04-01","2016-07-01","2016-10-01","2017-01-01","2017-04-01","2017-07-01","2017-10-01","2018-01-01","2018-04-01","2018-07-01","2018-10-01","2019-01-01","2019-04-01","2019-07-01","2019-10-01","2020-01-01","2020-04-01","2020-07-01","2020-10-01","2021-01-01"
"8","tuerkischen","jospin","bruessel","iwf","brasilien","chirac","lateinamerika","argentinien","russischen","bruessel","berlusconi","russischen","bruessel","slowakei","gazprom","verheugen","argentinien","europa","russische","juschtschenko","moskau","prodi","telecom","moskau","royal","royal","erdogan","polen","praesident","italien","georgien","landes","bruessel","land","berlusconi","georgien","griechische","bruessel","frankreich","frankreich","frankreich","paris","italiens","italiens","hollande","italien","madrid","bruessel","europa","europa","eu","juncker","putin","juncker","schotten","moskau","russische","tuerkei","ukraine","briten","london","britischen","austritt","briten","britischen","britischen","pfund","bruessel","grossbritanniens","orbán","may","bruessel","unterhaus","briten","london","deal","london","brexit","grossbritannien","abkommen","vakzin"
"9","land","bruessel","iwf","praesident","aznar","jospin","waehrungsfonds","bruessel","land","polnischen","beitritt","russlands","madrid","tuerkischen","peso","land","ungarn","russland","putin","russischen","regierung","berlusconi","parlament","putin","sarkozy","brown","russischen","moskau","mbeki","russischen","eu","brown","brown","polen","premier","frankreich","eurozone","ungarn","russland","juppé","tuerkei","strausskahn","land","premier","ungarn","griechen","eu","land","frankreich","putin","frankreich","abkommen","krim","russischen","sanktionen","wladimir","sanktionen","labour","regierung","cameron","referendum","cameron","referendum","bruessel","bruessel","premierministerin","may","briten","briten","britischen","bruessel","deal","parlament","london","briten","boris","koenigreich","bruessel","premier","london","brexit"
"10","landes","tuerkei","chirac","tuerkei","jospin","frankreich","brasiliens","mexiko","kommission","kroatien","ungarn","land","russischen","land","yukos","russischen","russischen","referendum","land","europaeischen","kiew","de","praesident","russlands","chávez","russischen","chávez","praesident","land","putin","russlands","russischen","russischen","ukraine","landes","calmyrey","premier","griechen","tuerkei","landes","kommission","italien","sarkozy","frankreich","bruessel","monti","rajoy","hollande","hollande","bruessel","russlands","luxemburg","russlands","moskau","unabhaengigkeit","ukraine","london","russische","rajoy","britische","cameron","referendum","pfund","pfund","europaeischen","london","insel","pfund","theresa","zollunion","pfund","premierministerin","briten","austritt","deal","briten","boris","regierung","london","bruessel","wirksamkeit"
"11","europaeischen","polen","polen","bbva","frankreich","land","landes","land","frankreichs","frankreichs","yukos","bruessel","land","sarkozy","kommission","moskau","eu","regierung","frankreich","union","premier","baltischen","premier","ungarn","europa","blair","land","premier","de","irland","premier","parlament","slowakei","russlands","europaeischen","northug","bruessel","premier","ungarn","europaeischen","premier","stoiber","moskau","land","putin","bruessel","bruessel","berlusconi","italien","praesidenten","hollande","kirchner","frankreich","russische","pfund","sanktionen","britischen","georgien","parlament","britischen","pfund","grossbritanniens","insel","austritt","austritt","koenigreich","koenigreich","premierministerin","austritt","ungarn","theresa","theresa","pfund","parlament","weyand","bruessel","regierung","of","briten","insel","bruessel"
"12","polen","premier","lateinamerika","polen","madrid","bruessel","russland","frankreich","de","referendum","russlands","polen","europa","eubeitritt","bruessel","europa","ukraine","bruessel","bruessel","frankreich","franzoesischen","franzoesischen","thaksin","premier","linke","frankreich","eu","italien","premier","land","tuerkei","suedafrika","regierung","tuerkei","land","lettland","europaeischen","frankreich","nabucco","parlament","frankreichs","parlament","bruessel","cameron","premier","madrid","roemer","sozialisten","briten","land","brembo","tuerkei","land","parlament","schottlands","gazprom","rubel","britischen","sanktionen","christies","verbleib","koenigreich","koenigreich","referendum","koenigreich","erdogan","europaeischen","koenigreich","zollunion","briten","moldau","pfund","london","europaeischen","parlament","nordirland","verhandlungen","briten","regierung","briten","impfstoffe"
"13","mexiko","krise","jospin","moskau","tuerkei","franzosen","spanien","akp","franzoesischen","mrd","italien","michail","frankreich","parlament","praesident","istanbul","investoren","putin","chirac","tuerkischen","tuerkei","parlament","opposition","land","milinkewitsch","praesident","brown","anc","suedafrika","berlusconi","praesident","suedafrikas","polen","premier","ukraine","athen","russland","konservativen","italien","bruessel","baku","europa","russische","bruessel","fiskalpakt","françois","paris","opposition","premier","praesident","bruessel","regierung","bruessel","bruessel","moskau","praesident","russen","tories","putin","land","austritt","pfund","union","binnenmarkt","binnenmarkt","pfund","grossbritanniens","theresa","nordirland","europaeischen","deal","europaeischen","verschiebung","may","boris","johnsons","bruessel","premierminister","boris","boris","britischen"
"14","mrd","mrd","solbes","buenos","solbes","nationalen","real","chávez","europaeischen","polnische","franzoesische","kommission","russische","brasilien","ungarn","kommission","polen","barroso","landes","tuerken","gazprom","tuerkei","krise","gazprom","russischen","verfassung","russische","russische","italien","ukraine","politischen","russische","europaeischen","magna","regierung","mitschek","praesident","cameron","landes","kasachstan","berlusconi","medwedjew","italienische","silvio","parlament","spanien","parlament","rajoy","grillo","sozialisten","italiens","chodorkowskij","hollande","ukrainischen","ukraine","rosneft","regierung","london","land","katalonien","premier","europaeischen","europaeischen","koenigreich","theresa","mays","austritt","regierung","zoelle","erdogan","harten","parlament","maerz","europaeische","bruessel","corbyn","briten","koenigreich","michel","gantz","bern"
"15","krise","blair","moskau","lateinamerika","fruehwarnung","fortuyn","mrd","kopenhagen","russland","argentinien","chodorkowskij","frankreich","polen","mexiko","land","berlusconi","praesident","europaeische","praesidenten","praesident","villepin","gazprom","tuerkei","ukraine","bruessel","land","premier","slowenien","zuma","premier","tnkbp","putin","ungarn","moskau","islands","ferrero","moskau","brown","ukraine","italien","europa","europaeischen","eu","paris","cameron","parlament","rutte","europa","grossbritannien","tuerkei","parlament","parlament","tuerkei","hollande","referendum","putins","cameron","moskau","katalanische","regierung","ukraine","europa","londoner","premierministerin","premierministerin","austritt","premierministerin","insel","bruessel","premierministerin","premierministerin","koenigreich","theresa","deal","leyen","pfund","premierminister","einigung","verhandlungen","globalgeschichte","ema"
"16","moskau","ankara","koizumi","aires","kommission","ungarn","botín","polen","brasilien","peso","de","koizumi","union","verfassung","kroes","praesident","referendum","land","polen","brasilien","premierminister","bruessel","tronchetti","frankreich","russische","parlament","reformen","land","parlament","russlands","polen","praesident","frankreich","russischen","russlands","díaz","landes","briten","osteuropa","griechenland","italiens","island","russischen","russland","europa","frankreichs","italien","frankreich","insel","ungarn","kirchner","moskau","kiew","regierungschefs","london","south","kiew","grossbritannien","pen","sothebys","grossbritanniens","bruessel","grossbritanniens","regierung","eustaaten","konservativen","regierung","tories","insel","soros","grossbritanniens","briten","bruessel","londoner","premierminister","premierminister","londoner","studiengebuehren","eukommission","einigung","clemens"
"17","lateinamerika","praesident","praesident","abwertung","praesident","iwf","lula","solbes","eukommission","zloty","landes","russische","ruehe","union","premier","verfassung","eustaaten","yukos","europaeischen","lamy","parlament","putin","provera","franzoesischen","schotten","ukraine","tuerkische","mbeki","opposition","russische","land","europaeischen","landes","de","parlament","dogan","tuerkei","papandreou","europaeischen","franzosen","serbien","korruption","premier","rom","polen","spaniens","françois","montis","britischen","landes","putin","bruessel","russen","regierung","separatisten","land","land","partei","podemos","harper","europa","union","bruessel","theresa","union","referendum","bruessel","hammond","premierministerin","eustaaten","brexits","stubb","austritt","harten","koenigreich","mehrheit","vereinigte","vettel","premierminister","harten","briten"
"18","mori","europaeischen","bruesseler","de","aires","ecevit","dollar","ankara","moskau","russische","bruessel","moskauer","putins","beitritt","chirac","europaeischen","russlands","russische","tymoschenko","ukraine","russlands","europa","land","kreml","italien","europaeischen","rubel","praesidenten","medwedjew","praesident","suedafrika","premier","praesident","schweden","island","ferrán","ukraine","parlament","neuwahlen","europa","premierminister","bruessel","rom","parlament","russland","wahl","sozialisten","partei","parlament","premier","praesident","demonstranten","regierung","cameron","england","moldau","hollande","putin","wahlen","brexit","putin","verbleib","regierung","parlament","referendum","bruessel","theresa","austritt","koenigreich","koenigreich","europaeischen","londoner","verlaengerung","union","may","parlament","kuenftige","deal","pen","koenigreich","premier"
"19","lira","berlusconis","ungarn","berlusconi","buenos","russland","wahlen","landes","solbes","russischen","frankreichs","wladimir","russlands","reformen","parlament","europaeische","europa","europaeischen","frankreichs","putin","chirac","premier","oesterreich","préda","englaender","tuerkei","moskau","eu","erdogan","praesidenten","brown","praesidenten","topolánek","politische","beitritt","region","frankreich","europaeischen","verhandlungen","eurozone","union","landes","regierungschef","putin","frankreichs","sozialisten","italiens","premierminister","land","grossbritannien","praesidenten","ukrainischen","europa","franzosen","russlands","russen","britische","austritt","erdogan","pis","moskau","insel","may","union","insel","regierung","referendum","mays","regierung","viktor","koenigreich","austritt","koenigreich","abkommen","grossbritanniens","premier","austritt","land","bbc","handelsabkommen","regierung"
"20","verheugen","land","mrd","mexiko","eukommission","lateinamerika","milliarden","europaeischen","mexiko","europa","putin","politische","europaeischen","de","mrd","bruessel","auslaendische","praesident","russischen","kommission","europa","russischen","polen","praesident","brown","nicolas","nicolas","rubel","wahl","sarkozy","kaukasus","frankreich","russische","bruessel","polen","schweizer","argentiniens","papakonstantinou","fini","korruption","europaeische","griechen","frankreich","grossbritannien","landes","fiskalpakt","kosovo","regierungschef","britische","letta","franzosen","italien","praesident","russlands","land","pipelines","koenigreich","land","tuerkei","mehrheit","russischen","johnson","europa","zugang","erdogan","grossbritanniens","union","verhandlungen","referendum","regierung","no","ungeordneten","abkommen","koenigreich","austritt","unterhaus","abkommen","jahresende","abkommen","premier","astra"
"21","frankreich","russland","parlament","la","duhalde","sozialisten","paulo","iwf","polen","franzoesische","privatisierung","verhaftung","praesident","frankreich","gyurcsany","frankreich","euverfassung","polen","moskauer","franzoesischen","franzoesische","russische","prodi","franzoesische","parlament","sozialisten","russen","gordon","tuerkischen","partei","akp","kreml","gazprom","europa","moskau","ukraine","rehn","grossbritannien","serbien","insel","parlament","praesident","frankreichs","nicolas","nicolas","tsipras","landes","italienischen","camerons","reformen","russischen","praesident","schweiz","renzi","salmond","renzi","europa","konservativen","briten","partei","osborne","premier","osborne","insel","pfund","tories","erdogan","brexitverhandlungen","aussenminister","orbáns","maerz","vertrag","grossbritanniens","theresa","oktober","labour","premier","bailey","street","deal","dosen"
"22","bruessel","wirtschaftsminister","krise","politische","europaeischen","praesident","praesident","paulo","russische","europaeischen","huebner","istanbul","sozialisten","lamy","russlands","russische","russische","union","telstra","premier","de","spanien","politische","europaeischen","spanien","ségolène","nhs","politische","wahlen","iren","erdogan","gordon","franzoesischen","aussenpolitik","italien","auslaendische","iwf","britischen","silvio","russischen","rehn","russland","spaniens","europaeischen","tschechien","landes","osteuropa","premier","regierungschef","opposition","landes","russische","erdogan","land","britischen","kreml","miliband","referendum","konservative","grossbritanniens","tuerkei","david","cameron","londoner","kontinent","verhandlungen","stihl","binnenmarkt","johnson","maerz","verhandlungen","mays","mays","brexits","insel","koenigreich","europaeischen","kommission","downing","grossbritanniens","london"
"23","de","argentinische","dollar","brasilien","waehrung","franzoesischen","santander","brasilianischen","mrd","parlament","politische","karamanlis","premier","polens","frankreich","premier","chirac","blair","italien","spanien","paris","sozialisten","europaeischen","opposition","weissrussland","franzosen","akp","wahl","anc","v","politische","europa","land","europaeer","oesterreich","morales","schweizer","gordon","politische","berlusconis","landes","putin","europaeischen","frankreichs","franzosen","europa","spaniens","regierungschefs","valls","globovision","tuerkei","renamo","landes","frankreich","cameron","westen","premier","grossbritanniens","britische","moskau","russlands","londoner","erdogan","erdogan","verhandlungen","insel","reesmogg","maerz","londoner","insel","referendum","maerz","harten","johnson","regierung","dup","grossbritanniens","boris","johnsons","seiten","kommission"
"24","russische","parlament","kommission","wirtschaftsminister","argentinier","tuerkei","brasilianischen","italien","tuerkischen","landes","mrd","reformen","erdogan","zapatero","eukommission","referendum","tuerkei","sarkozy","de","russland","berlusconi","italiens","frankreich","beziehungen","praesidenten","tony","politische","opposition","berlusconi","politischen","bp","russlands","italien","jobbik","frankreich","parlament","putin","iwf","schweden","praesident","aserbaidschan","zapatero","tuerkei","politische","italiens","paris","sp","bajnai","referendum","franzoesischen","letta","druck","ukrainischen","premier","regierung","premier","separatisten","russen","russischen","wahl","regierung","land","land","kontinent","grossbritanniens","nordirland","city","barnier","grenze","tuerkei","union","union","aufschub","partei","londoner","may","freihandelsabkommen","ende","cummings","regierung","eindhoven"
"25","dervis","staaten","fabius","landes","franzoesischen","de","de","investoren","lateinamerika","miller","parlament","chodorkowskij","italien","praesident","politische","de","frankreich","europas","revolution","eustaaten","politische","ukraine","pirelli","giscard","de","verheugen","neuwahlen","frankreich","europaeischen","bruessel","westen","irischen","oesterreich","kirchner","auslaendischen","bruessel","kommission","labour","bruessel","rehn","kenny","berlusconi","zapatero","italienische","regierungschef","nd","wahl","djukanovic","russland","françois","tuerkischen","letta","wladimir","franzoesischen","britische","ukrainekrise","russlands","regierung","italien","spanische","mehrheit","folgen","england","europaeischen","regierung","brexitverhandlungen","maerz","europaeischen","england","ankara","europaeische","grossbritanniens","ungeordneten","regierung","harten","konservativen","england","london","netanjahu","europaeische","europaeischen"
"26","tuerkische","roma","waehrungsfonds","europaeischen","spanien","brasiliens","internationalen","praesidenten","politische","franzoesischen","europaeischen","kreml","politische","landes","paris","beitritt","laender","beitritt","berlusconi","moskau","land","ungarn","beobachter","chávez","schottland","moskau","cameron","parlament","praesidenten","tuerkei","kreml","harper","rom","russische","beitrittsverhandlungen","osteuropa","chodorkowskij","tories","russische","europaeische","cameron","lega","finanzminister","ungarn","sozialisten","tuerkei","franzoesischen","orbán","mario","kroatien","lissabon","russischen","schweizer","staats","koenigreich","parlament","briten","russlands","renzi","parteien","union","premierminister","verhandlungen","verhandlungen","land","eustaaten","tuerkei","eustaaten","europaeischen","land","ausstieg","unterhaus","austrittsvertrag","verlaengerung","nodealbrexit","austritt","zugang","europaeischen","gantz","londoner","eukommission"
"27","brasilianische","russischen","de","frankreich","russland","lowe","mexiko","kommission","argentinien","land","raffarin","tuerkische","moskau","premier","landes","ungarn","moskau","rumaenien","wladimir","franzoesische","praesident","franzoesische","priklopil","kommunisten","schottischen","sarkozys","guels","russen","landes","akp","zuma","medwedjew","kayseri","frankreich","kommission","italien","ozawa","europa","lega","russlands","madrid","franzosen","paris","regierungschef","paris","nicolas","politische","europaparlament","franzosen","krise","ruecktritt","parteien","westen","franzoesische","stimmen","regierung","konservativen","premier","staat","spanischen","land","waehler","brexitvotum","ukraine","europaeische","labour","verhandlungen","uebergangsphase","land","hawes","insel","no","deal","verschiebung","england","tories","brexits","premier","parlament","netanjahu","pfund"
"28","ecevit","tuerkischen","ministerpraesident","domingo","bbva","europaeischen","praesidenten","brasiliens","union","de","referendum","praesidenten","spanischen","referendum","sozialisten","landes","europaeischen","ungarn","moskau","europaeische","frankreichs","regierungschef","thaksins","wladimir","prodi","russen","argentinien","cameron","kommunisten","franzosen","beziehungen","kap","tschechien","landes","petrobras","rumaenien","korruption","britische","south","ruerup","britischen","ungarn","erdogan","papademos","franzoesischen","syriza","bulgarien","landes","silvio","minister","sergej","frankreich","krimkrise","kiew","putins","moscovici","frankreich","westen","praesident","frankreich","insel","boris","kontinent","irland","zollunion","polen","hammond","grossbritanniens","kontinent","budapest","londoner","regierung","abstimmung","premierministerin","abkommen","insel","leyen","oxford","harten","zoelle","jura"
"29","kutschma","iwf","spanischen","sch","frankreichs","sedelmayer","spanische","erdogan","erdogan","beitritt","tschechien","union","politischen","griechenland","spanien","investoren","europaeische","russischen","union","kiew","landes","grosser","ukraine","europas","bruesseler","blairs","praesidenten","putins","premierminister","europa","berlusconi","italien","barroso","wto","russen","europaeischen","ikea","landes","fischer","spanien","josé","mailand","spanien","europa","europaeischen","spanischen","wilders","umfragen","landes","orbán","moskau","front","demonstranten","korruption","koenigreichs","gas","austritt","brexit","premier","austritt","europaeischen","stimmen","theresa","hollande","europa","mehrheit","londoner","johnson","davis","austritt","mays","einigung","abgeordneten","kompromiss","darroch","referendum","binnenmarkt","versprach","le","sunak","spahns"
"30","union","waehrungsfonds","auslaendischen","internationalen","beitritt","region","uruguay","russland","praesident","paris","tuerkische","chodorkowskis","mitgliedstaaten","griechischen","bruesseler","tuerkischen","premier","kommission","griechenland","land","franzosen","landes","mexiko","tuerkei","linken","labour","kommunisten","darling","partei","piraten","partei","zuma","bern","stronach","georgien","briten","merkel","politische","ungarische","union","europaeischen","lauvergeon","landes","pdl","premierminister","rupo","europa","ungarn","grossbritanniens","politischen","widerstand","erdogan","rubel","praesidenten","wladimir","stream","gazprom","koenigreich","referendum","hollande","david","abstimmung","binnenmarkt","grossbritanniens","vereinigten","parlament","binnenmarkt","wirtschaft","pfund","verhandlungen","austritt","abkommen","brexits","insel","europaeischen","grossbritanniens","europaeer","konservativen","tories","dover","kanton"
"31","ukraine","tremonti","waehrung","mrd","europa","frankreichs","brasilianische","cl","parlament","kommission","tuerkischen","mitgliedstaaten","tuerkischen","staaten","kessler","kreml","tschechien","landes","prodi","politische","gas","spanischen","regierungschef","de","caracas","russlands","moskauer","tuerkei","sozialisten","argentinien","praesidenten","premierminister","gas","suedafrika","dreyfus","magnitskij","eukommission","ungarns","russen","lissabon","grossbritannien","abgeordneten","silvio","landes","rom","premier","clegg","pdl","italiener","hollandes","alexej","aires","berlusconi","europaeischen","schottische","pfund","parlament","ukraine","pristina","praesident","landes","binnenmarkt","polen","land","parlament","cameron","juncker","kabinett","binnenmarkt","aussenminister","kontinent","verhandlungen","europaeischen","ungeordneten","juncker","verlaengerung","insel","donnerstag","europaeischen","verhandlungen","zeneca"
"32","finanzkrise","tuerkische","direktinvestitionen","parlament","laender","polnischen","putin","politische","iwf","menem","alstom","ungarn","ungarn","ankara","dollar","sarkozy","putin","chodorkowskij","villepin","jacques","prodi","rio","politischen","prodi","verfassung","einwanderung","linke","parteien","tuerken","gordon","parlament","regierungschef","frankreichs","britischen","irland","praesident","papandreou","premierminister","nord","italiens","ministerpraesident","stimmen","waigel","mario","françois","parteien","tuerkei","camerons","frankreichs","napolitano","regierungschef","abgeordneten","beziehungen","europaparlament","union","oelpreis","praesident","sanktionen","katalanen","umfragen","koenigreich","vereinigte","carney","  ","mays","david","mays","euaustritt","verlassen","grossbritanniens","regierung","nordirland","referendum","nodealbrexit","premier","theresa","deal","verhandlungen","einigung","europaeischen","nachbarland"
