"","2001-01-01","2001-04-01","2001-07-01","2001-10-01","2002-01-01","2002-04-01","2002-07-01","2002-10-01","2003-01-01","2003-04-01","2003-07-01","2003-10-01","2004-01-01","2004-04-01","2004-07-01","2004-10-01","2005-01-01","2005-04-01","2005-07-01","2005-10-01","2006-01-01","2006-04-01","2006-07-01","2006-10-01","2007-01-01","2007-04-01","2007-07-01","2007-10-01","2008-01-01","2008-04-01","2008-07-01","2008-10-01","2009-01-01","2009-04-01","2009-07-01","2009-10-01","2010-01-01","2010-04-01","2010-07-01","2010-10-01","2011-01-01","2011-04-01","2011-07-01","2011-10-01","2012-01-01","2012-04-01","2012-07-01","2012-10-01","2013-01-01","2013-04-01","2013-07-01","2013-10-01","2014-01-01","2014-04-01","2014-07-01","2014-10-01","2015-01-01","2015-04-01","2015-07-01","2015-10-01","2016-01-01","2016-04-01","2016-07-01","2016-10-01","2017-01-01","2017-04-01","2017-07-01","2017-10-01","2018-01-01","2018-04-01","2018-07-01","2018-10-01","2019-01-01","2019-04-01","2019-07-01","2019-10-01","2020-01-01","2020-04-01","2020-07-01","2020-10-01","2021-01-01","2021-04-01"
"8","rueckgang","entwicklung","usa","deutschland","unternehmen","wirtschaft","unternehmen","stimmung","quartal","prognose","unternehmen","quartal","rueckgang","wirtschaft","deutschen","huether","konjunktur","bip","konjunktur","verbraucher","konjunktur","aufschwung","anstieg","wachstum","zimmermann","experten","konsum","deutlich","deutschland","unternehmen","rezession","prognose","bip","rezession","anstieg","erholung","rueckgang","arbeitsmarkt","erholung","kommenden","weltwirtschaft","aufschwung","rezession","unternehmen","arbeitsmarkt","befragten","quartal","deutsche","zahl","eurozone","eurozone","deutschland","deutschen","konjunktur","unternehmen","jahr","deutschland","prognosen","jahr","konjunktur","deutschen","deutschen","industrie","wirtschaft","konjunktur","investitionen","tuerkei","industrie","loehne","deutschland","deutsche","rezession","konjunktur","deutsche","investitionen","weltwirtschaft","jahr","minus","rueckgang","industrie","wachstum","deutschland"
"9","januar","prognose","verbraucher","rueckgang","deutschland","deutschland","deutschland","rueckgang","aufschwung","deutschen","deutschen","wirtschaft","unternehmen","verbraucher","diw","investitionen","quartal","investitionen","punkte","konjunktur","deutschland","anstieg","arbeitsmarkt","oekonomen","mehrwertsteuererhoehung","befragten","daten","entwicklung","prognose","konsum","halbjahr","deutschland","prognosen","wirtschaftsleistung","erholung","unternehmen","nachfrage","nachfrage","konjunktur","deutschland","doll","deutschland","aufschwung","befragten","entwicklung","rueckgang","firmen","deutschland","quartal","exporte","minus","firmen","konjunktur","firmen","deutschland","lage","konjunktur","entwicklung","russland","deutschen","rueckgang","china","rueckgang","weltwirtschaft","deutsche","konjunktur","deutsche","deutsche","weltwirtschaft","deutsche","oekonomen","rund","quartal","deutschland","deutsche","abschwung","wachstum","einbruch","oekonomen","lockdown","lockdowns","milliarden"
"10","entwicklung","erwartet","wirtschaft","unternehmen","deutschen","ersten","zweiten","wirtschaft","entwicklung","bip","verbraucher","entwicklung","erholung","unternehmen","aufschwung","wirtschaftswachstum","wirtschaft","stieg","oelpreis","entwicklung","weltwirtschaft","konjunktur","wirtschaft","entwicklung","arbeitsmarkt","monaten","befragten","quartal","gestiegenen","arbeitsmarkt","unternehmen","wirtschaft","deutschen","minus","halbjahr","deutschen","anstieg","industrie","industrie","quartal","deutlich","preise","nachfrage","deutschland","plus","industrie","wachstum","deutschen","eurozone","industrie","deutschen","entwicklung","china","arbeitsmarkt","jahr","deutschen","deutlich","arbeitsmarkt","exporte","kommenden","ausgaben","brasilien","deutsche","deutsche","industrie","risiken","arbeitslosigkeit","plus","investitionen","konjunktur","exporte","firmen","rezession","konjunktur","konjunktur","iwf","deutschland","oekonomen","rezession","konjunktur","deutschland","erholung"
"11","bip","deutschland","deutschen","bip","januar","entwicklung","rueckgang","rezession","unternehmen","aufschwung","halbjahr","konjunktur","entwicklung","konsum","oelpreis","wirtschaft","investitionen","verbraucher","gestiegen","weltwirtschaft","quartal","arbeitsmarkt","rueckgang","institute","weltwirtschaft","vorjahr","wirtschaft","unternehmen","entwicklung","quartal","konjunkturellen","wachstum","quartal","erwarten","arbeitslosigkeit","wirtschaft","investitionen","firmen","unternehmen","deutlich","unternehmen","unternehmen","entwicklung","entwicklung","vorjahr","konjunktur","industrie","rezession","china","quartal","konjunktur","konjunktur","weltwirtschaft","entwicklung","eurozone","deutsche","deutschen","weltwirtschaft","deutsche","wachstum","unternehmen","konjunktur","oekonomen","konjunktur","studie","studie","vergleich","konjunktur","milliarden","milliarden","industrie","oekonomen","arbeitsmarkt","rezession","quartal","konjunktur","weltwirtschaft","firmen","kurzarbeit","rezession","aufschwung","konjunktur"
"12","plus","ersten","halbjahr","entwicklung","bip","erholung","erholung","kommenden","verbraucher","entwicklung","ersten","unternehmen","wirtschaft","prognose","erholung","oekonomen","deutsche","arbeitsmarkt","wirtschaft","deutsche","aufschwung","daten","halbjahr","konsum","konsum","jahres","anstieg","weltwirtschaft","exporte","anstieg","deutschen","deutschen","branchen","oekonomen","deutschland","aufschwung","deutlich","kurzarbeit","krise","monaten","deutschen","oekonomen","firmen","prognose","schuldenkrise","firmen","eurokrise","befragten","arbeitslosigkeit","rueckgang","investitionen","oekonomen","entwicklung","investitionen","investitionen","firmen","russland","deutsche","investitionen","deutlich","oekonomen","kommenden","anstieg","erwartet","erwartet","industrie","halbjahr","deutlich","plus","rueckgang","umfrage","konjunktur","deutsche","deutschen","deutschen","investitionen","rezession","iwf","einbruch","prognose","oekonomen","deutlich"
"13","deutschen","institute","deutschland","kommenden","verbraucher","monaten","oekonomen","verbraucher","konsum","rueckgang","wirtschaft","konsum","privaten","exporte","halbjahr","industrie","verbraucher","ersten","unternehmen","oecd","erwartungen","konsum","erwartungen","arbeitsmarkt","prognosen","arbeitsmarkt","halbjahr","wirtschaft","deutsche","euro","anstieg","unternehmen","maschinenbau","deutlich","minus","konsum","aufschwung","entwicklung","konsum","nachfrage","entwicklung","quartal","deutsche","arbeitsmarkt","rueckgang","arbeitsmarkt","nachfrage","investitionen","rueckgang","rezession","zweiten","deutschen","industrie","china","entwicklung","quartal","erwartet","investitionen","deutschen","investitionen","konsum","deutsche","nachfrage","china","arbeitsmarkt","weltwirtschaft","firmen","firmen","rund","china","hierzulande","deutschen","weltwirtschaft","oekonomen","abschwung","maschinenbau","konjunktur","finanzkrise","arbeitsmarkt","milliarden","nachfrage","vorjahr"
"14","rezession","bip","entwicklung","usa","zweiten","unternehmen","deutschen","oktober","deutsche","april","stimmung","minus","deutlich","deutsche","bip","befragten","weltwirtschaft","rueckgang","deutschland","anstieg","wirtschaftsforschung","weltwirtschaft","mehrwertsteuererhoehung","zahl","quartal","konsum","wirtschaftsforschung","rueckgang","wirtschaft","wirtschaft","entwicklung","verbraucher","deutschland","unternehmen","investitionen","eigentumswohnungen","bip","verbraucher","nachfrage","krise","konjunktur","donohue","deutschen","kommenden","deutschland","umfrage","entwicklung","eurokrise","umfrage","oekonomen","oekonomen","prognosen","rechnet","aufschwung","firmen","russland","investitionen","deutschen","entwicklung","unternehmen","industrie","exporte","quartal","exporte","prognosen","aufschwung","befragten","weltwirtschaft","euro","industrie","deutschland","china","vorjahr","usa","arbeitsmarkt","deutsche","deutschen","befragten","unternehmen","iwf","befragten","unternehmen"
"15","zweiten","oekonomen","konsum","erwartet","erwartet","rueckgang","entwicklung","erholung","stimmung","erwartet","juli","deutsche","arbeitsmarkt","vorjahr","oekonomen","bip","aufschwung","konjunktur","konsum","zahl","investitionen","vorjahr","unternehmen","wirtschaftsforschung","institut","studie","welcker","befragten","erwartet","nachfrage","wirtschaft","kommenden","rechnet","vorjahr","konjunktur","staedten","duerfte","konsum","entwicklung","deutsche","arbeitsmarkt","deutsche","gestiegen","deutsche","deutschen","nachfrage","arbeitsmarkt","erwartet","rechnet","deutsche","entwicklung","arbeitsmarkt","schwellenlaender","russland","geopolitischen","arbeitsmarkt","befragten","insgesamt","rueckgang","nachfrage","investitionen","auswirkungen","verbraucher","plus","weltwirtschaft","gestiegen","deutlich","dihk","zahl","usa","milliarden","industrie","prognose","risiken","rueckgang","unternehmen","oekonomen","rueckgang","konjunktur","mehrwertsteuersenkung","deutschen","rueckgang"
"16","usa","rueckgang","erwartet","deutschen","ersten","bip","bip","konsum","oekonomen","maerz","bip","volkswirte","stimmung","weltwirtschaft","juli","entwicklung","institut","konsum","oekonomen","arbeitsmarkt","entwicklung","industrie","dihk","deutschen","anstieg","anstieg","deutlich","stark","zuwachs","deutlich","hohe","deutlich","befragten","prognosen","stark","kommenden","rechnet","rueckgang","deutlich","deutschen","arbeitslosigkeit","erholung","konsum","quartal","quartal","deutlich","rueckgang","duerfte","firmen","deutschen","konsum","deutsche","firmen","oekonomen","zweiten","nachfrage","rechnet","vorjahr","firmen","weltwirtschaft","brasilien","quartal","konjunktur","gestiegen","exporte","firmen","anstieg","arbeitsmarkt","wachstum","quartal","entwicklung","milliarden","usa","investitionen","oekonomen","welcker","investitionen","april","deutsche","deutsche","zweiten","befragten"
"17","rechnet","anstieg","punkte","aufschwung","gestiegen","plus","ersten","aufschwung","anstieg","ersten","minus","anstieg","deutsche","ersten","konsum","arbeitsmarkt","stimmung","huether","prognose","wirtschaftsforschung","prognose","befragten","kommenden","wirtschaft","kieler","wirtschaftsforschung","unternehmen","rechnen","anstieg","beldsnijder","hohen","rechnen","minus","deutschland","erwartet","arbeitsmarkt","volkswirte","studie","firmen","konjunktur","gestiegen","arbeitsmarkt","rueckgang","rechnet","china","deutsche","befragten","industrie","monaten","plus","wirtschaftsleistung","exporte","investitionen","deutsche","russland","befragten","industrie","industrie","quartal","exporte","oecd","industrie","diw","ausland","firmen","bruttoinlandsprodukt","konjunktur","steigen","prognosen","entwicklung","prognosen","arbeitsmarkt","oekonomen","handelskonflikt","china","prognose","kurzarbeit","kurzarbeit","halbjahr","deutschen","deutlich","branchen"
"18","vierten","deutschen","monaten","prognosen","industrie","deutschen","verbraucher","september","gestiegen","deutsche","entwicklung","prognose","bip","erholung","befragten","rechnen","entwicklung","eurozone","gfk","gfk","finanzmarktexperten","deutschen","befragten","ersten","wirtschaftsforschung","binnennachfrage","insgesamt","steigende","rueckgang","weltwirtschaft","ersten","plus","erwartet","befragten","zweiten","branchen","erwarten","deutschen","kommenden","zahl","rueckgang","niveau","rechnet","schuldenkrise","rechnet","eurokrise","zweiten","rechnet","entwicklung","eurokrise","deutsche","plus","deutlich","prognose","china","industrie","weltwirtschaft","volkswirtschaft","prognose","prognosen","verbraucher","anstieg","erwartet","kommenden","diw","indien","oekonomen","prognosen","arbeitsmarkt","tuerkei","fe","exporte","industrie","handelskonflikte","brexit","deutschen","volkswirtschaft","nachfrage","deutschen","deutschland","wirtschaftliche","preise"
"19","vergangenen","industrie","zweiten","prognose","rezession","institute","erwartet","entwicklung","rezession","anstieg","zweiten","punkte","volkswirte","arbeitsmarkt","wirtschaftsforschung","konsumenten","privaten","befragten","stimmung","wirtschaftswachstum","deutsche","prozentpunkte","marnette","nachfrage","zahl","aufgrund","deutschen","privaten","prognosen","verbraucher","rechnet","industrie","zahl","wachstum","rezession","monaten","krise","quartal","halbjahr","niveau","deutsche","krise","arbeitsmarkt","industrie","erwartet","wirtschaftsleistung","exporte","china","vergangenen","dihk","erwartet","china","eurozone","oecd","oekonomen","dihk","niedrigen","aufschwung","weltwirtschaft","fluechtlinge","plus","konsum","exporte","rueckgang","quartal","zahl","quartal","einkommen","familienunternehmen","oekonomen","befragten","investitionen","vergangenen","rund","weltwirtschaft","china","erholung","deutschland","erwartet","zweiten","einbruch","stark"
"20","prognose","kommenden","juli","rechnet","erwarten","stimmung","deutlich","eurozone","rechnet","rezession","gestiegen","steuerreform","oekonomen","deutlich","juni","vorjahr","befragten","oekonomen","rueckgang","quartal","stimmung","halbjahr","rechnet","deutlich","januar","wirtschaft","nachfrage","erwartet","jahres","ersten","prognose","weihnachtsgeschaeft","kurzarbeit","nachfrage","deutsche","befragten","konjunktur","befragten","zweiten","entwicklung","erholung","wachsen","prognosen","erwarten","nachfrage","gestiegen","umfrage","umfrage","eurokrise","entwicklung","unternehmen","festge","oekonomen","steigen","erwartet","china","krisen","quartal","deutschland","verbraucher","wirtschaftswachstum","hri","bruttoinlandsprodukt","quartal","plus","oekonomen","bruttoinlandsprodukt","rund","entwicklung","deutschen","rund","ausland","rueckgang","brexit","handelskonflikte","erwartet","handelskonflikte","milliarden","krise","rueckgang","prognose","minus"
"21","zuwachs","deutlich","kommenden","terroranschlaege","monaten","prognose","prognose","industrie","prognosen","konsumenten","rechnet","oekonomen","erwartet","privaten","zweiten","oelpreis","arbeitsmarkt","exporte","monaten","plus","rechnet","oekonomen","institut","mehrwertsteuer","monat","veroeffentlichten","prognosen","wirtschaftsforschung","verbraucher","deutschen","deutsche","minus","konjunktur","krise","unternehmen","plus","deutschen","erwartet","aussichten","oekonomen","vergangenen","zahl","kommenden","produktion","bip","euroraum","halbjahr","oekonomen","befragten","china","plus","vergangenen","nachfrage","erwartet","ukrainekrise","kommenden","dihk","sank","bundesbank","entwicklung","ausland","rechnet","weltwirtschaft","befragten","zahl","quartal","weltwirtschaft","entwicklung","hierzulande","zoelle","handel","usa","erwartet","plus","firmen","volkswirtschaft","nachfrage","konjunktur","volkswirtschaft","euro","trotz","fratzscher"
"22","erwartet","april","investitionen","verbraucher","investitionen","deutlich","arbeitsmarkt","bip","investitionen","irakkrieges","rueckgang","rueckgang","quartal","institute","deutsche","rueckgang","steigen","deutsche","aufschwung","prognose","punkten","vergangenen","monat","walwei","oekonomen","deutlich","oekonomen","nachfrage","aussenhandel","deutschland","einkommen","vorjahr","konsum","rechnet","institut","niveau","vierten","vergleich","erwartet","firmen","firmen","infrastruktur","erwartet","umfrage","befragten","deutschen","rezession","entwicklung","plus","nachfrage","befragten","ausland","hohe","euroraum","juli","oekonomen","umfrage","globalen","konsum","sterblichkeit","prognosen","entwicklung","arbeitsmarkt","zahl","wirtschaftswachstum","plus","experten","prognose","studie","ausland","strafzoelle","plus","risiken","nachfrage","minus","konsum","branchen","zweiten","weltwirtschaft","dritten","vorjahr","diw"
"23","industrie","monaten","ersten","punkte","anstieg","minus","wirtschaftswachstum","dritten","irakkrieg","weltwirtschaft","befragten","dritten","umfrage","entwicklung","rueckgang","verbraucher","wirtschaftswachstum","entwicklung","deutlich","rechnen","rueckgang","deutschland","gestiegen","anteil","unsicherheiten","erwarten","ersten","anstieg","vorjahr","wirtschaftsforschung","kannegiesser","prognosen","wirtschaft","exporte","vorjahr","anstieg","oekonomen","krise","rechnet","erwarten","krise","deutlich","vergleich","kerkhoff","aufschwung","china","vorjahr","plus","anstieg","investitionen","kommenden","rueckgang","krise","befragten","industrie","exporte","vorjahr","zahl","rousseff","rechnen","institut","hierzulande","entwicklung","risiken","rechnet","ausland","laendern","aufschwung","konjunktur","aufschwung","stark","entwicklung","deutschen","firmen","branchen","firmen","deutlich","deutlich","milliarden","befragten","fuest","haushalte"
"24","vorjahr","plus","unten","rechnen","vierten","industrie","rezession","anstieg","plus","verbraucher","anstieg","einzelhandel","dezember","bip","wirtschaft","kommenden","haushalte","zahl","weltwirtschaft","aufschwung","punkte","prognose","monaten","mehrwertsteuererhoehung","lag","investitionen","staerker","inflation","unsicherheiten","unsicherheiten","zweiten","branche","plus","erwartet","kurzarbeit","krise","industrie","april","lage","arbeitslosigkeit","steigen","oecd","halbjahr","monaten","firmen","entwicklung","stimmung","erwarten","duerfte","rechnet","monaten","industrie","verbraucher","nachfrage","plus","umfrage","entwicklung","china","oekonomen","branchen","umfrage","duerfte","institut","wirtschaftlichen","deutlich","erwartet","zahl","oekonomen","industrie","jahren","ausland","kommenden","wirtschaftswachstum","ausland","exporte","bundesregierung","globalen","prognose","industrie","firmen","pandemie","wachstum"
"25","monaten","konsum","gestiegen","erholung","zahl","deutsche","volkswirte","punkte","prognose","prognosen","erwartet","arbeitsmarkt","optimismus","rechnet","verbraucher","gestiegen","deutlich","minus","zweiten","privaten","umfrage","unternehmen","aufschwung","weltwirtschaft","erwartet","daten","gewachsen","deutschland","nachfrage","vorjahr","gestiegen","befragten","unternehmen","bip","prognose","erwartet","umfrage","exporte","arbeitslosigkeit","gestiegen","umfrage","steigenden","oekonomen","vorjahr","euroraum","vergangenen","staerker","prognose","aufschwung","zahl","mai","rechnet","vorjahr","umfrage","arbeitsmarkt","rueckgang","vergangenen","produktivitaet","stark","arbeitslosigkeit","nachfrage","instituts","berlin","umfrage","china","entwicklung","exporte","quartal","statistiker","prognose","exporteure","dritten","firmen","deutlich","plus","usa","bruttoinlandsprodukt","investitionen","aufschwung","erwartet","unternehmen","lockdown"
"26","prognosen","optimismus","bip","zweiten","plus","erwartet","juni","oekonomen","januar","rechnen","belebung","bip","prognosen","nachfrage","gestiegen","einzelhandel","wirtschaftsforschung","gestiegen","befragten","kommenden","vergleich","erwarten","ersten","jahres","zunahme","umfrage","industrie","prognosen","usa","haushalte","euro","arbeitsmarkt","branche","kommenden","kommenden","wachstum","entwicklung","deutschland","anstieg","steigen","steigenden","bruttoinlandsprodukt","anstieg","rueckgang","wirtschaftsleistung","folge","niveau","eurozone","schuldenkrise","erwartet","arbeitsmarkt","kommenden","preise","zschaber","stimmung","stark","rueckgang","oekonomen","rezession","rueckgang","vorjahr","oekonomen","auswirkungen","industrie","wirtschaftsforschung","erwarten","vorjahr","insgesamt","ausland","dihk","deutlich","rueckgang","abkuehlung","milliarden","deutschlands","rechnet","produktion","rechnet","nachfrage","umfrage","wirtschaftsleistung","oekonomen"
