"","2001-01-01","2001-04-01","2001-07-01","2001-10-01","2002-01-01","2002-04-01","2002-07-01","2002-10-01","2003-01-01","2003-04-01","2003-07-01","2003-10-01","2004-01-01","2004-04-01","2004-07-01","2004-10-01","2005-01-01","2005-04-01","2005-07-01","2005-10-01","2006-01-01","2006-04-01","2006-07-01","2006-10-01","2007-01-01","2007-04-01","2007-07-01","2007-10-01","2008-01-01","2008-04-01","2008-07-01","2008-10-01","2009-01-01","2009-04-01","2009-07-01","2009-10-01","2010-01-01","2010-04-01","2010-07-01","2010-10-01","2011-01-01","2011-04-01","2011-07-01","2011-10-01","2012-01-01","2012-04-01","2012-07-01","2012-10-01","2013-01-01","2013-04-01","2013-07-01","2013-10-01","2014-01-01","2014-04-01","2014-07-01","2014-10-01","2015-01-01","2015-04-01","2015-07-01","2015-10-01","2016-01-01","2016-04-01","2016-07-01","2016-10-01","2017-01-01","2017-04-01","2017-07-01","2017-10-01","2018-01-01","2018-04-01","2018-07-01","2018-10-01","2019-01-01","2019-04-01","2019-07-01","2019-10-01","2020-01-01","2020-04-01","2020-07-01","2020-10-01","2021-01-01","2021-04-01"
"8","rindfleisch","kernenergie","markt","produktion","ford","laepple","ministererlaubnis","vw","dollar","strom","mio","mio","bmw","saudiarabien","frenzel","dollar","pro","foerderung","vw","jahr","pischetsrieder","pro","barrel","energie","grad","klimawandel","energie","tonnen","barrel","bau","barrel","ritter","kraftwerk","preise","rwe","kopenhagen","schellnhuber","energien","erneuerbaren","branche","benzin","netz","fukushima","oel","eeg","foerderung","milch","ausbau","oel","industrie","weizen","immerath","ausbau","anlagen","gas","energie","bau","tiere","reaktoren","wind","stream","eon","lewis","teyssen","pro","afrikas","lausitz","ostsee","eugt","klimaschutz","bundesrechnungshof","oel","mond","energiewende","energien","strom","energiewende","pro","erneuerbaren","baeume","energiewende","palette"
"9","tiere","mks","produktion","preis","verbraucher","preis","energie","markt","urlauber","dollar","wagoner","strom","strom","preis","dollar","gold","forster","energie","raffinerien","tonnen","gefluegel","nachfrage","oel","glos","energien","beben","opec","energien","oelpreis","landwirtschaft","dorsch","stahl","pro","bauern","preise","schweinegrippe","oel","preise","fischedick","oel","oel","van","tokio","japan","kraftwerke","energie","japan","oel","strompreisbremse","windparks","industrie","erneuerbare","ausgleichsregelung","eeg","rohstoffe","grad","foerderung","luchs","decken","kraftwerke","mara","strom","terium","erneuerbaren","natur","energie","gletscher","wasser","katar","paga","erwaermung","gas","energiewende","gas","klimapolitik","barber","tesla","gruene","erdgas","lithium","kosten","tonnen"
"10","agrarpolitik","markt","nachfrage","tonnen","preis","frenzel","johannesburg","jahr","pro","oel","oelpreis","produkte","watts","preise","produktion","kakao","dollar","preis","oelpreis","rund","katzen","dollar","industrie","energieagentur","skimarathon","tonnen","atomkraftwerke","oelpreis","lloyds","kohlekraftwerke","kohle","energien","anlagen","liter","desertec","impfung","energien","erneuerbaren","kernkraftwerke","gas","energien","son","energiewende","eon","photovoltaik","fukushima","oel","betreiber","gas","erneuerbaren","erneuerbare","kohle","anlagen","industrie","kohle","strom","energiepolitik","klimaschutz","rueckstellungen","erneuerbaren","eon","vattenfall","ausbau","landwirtschaft","landwirtschaft","erneuerbaren","nigeria","stream","greim","gazprom","radfahrer","jemen","tonnen","bauern","energiewende","energiewende","erdgas","erde","anlagen","auktionen","klimaschutz","industrie"
"11","renate","aminosaeuren","emissionen","bmw","landwirte","dudenhoeffer","millionen","preise","nachfrage","brinker","autos","verbraucher","jahr","autos","markt","oel","opel","piebalgs","preis","energie","ruegen","strom","gas","oelpreis","energie","energien","grad","nachfrage","kohle","verbraucher","rohstoffe","strom","reaktor","blei","energien","jahren","klima","eisenerz","golf","riedelbauch","ethanol","gigawatt","oel","kohle","ausbau","ausbau","meter","bau","bundesumweltminister","bundesregierung","tennet","eeg","energien","cent","industrie","kraftwerke","netzbetreiber","  ","wind","staaten","hatton","neuzulassung","cowboys","verlags","kohle","afrikanischen","energien","as","buergermeister","umwelt","rad","setschin","erde","klimaschutz","eegumlage","klimaziele","stahlindustrie","energien","lng","waelder","tesla","kilometer"
"12","rinder","tiermehl","gentechnisch","fahrzeuge","reisen","branche","barrel","fiat","jahr","kunden","gottschalk","branche","reisen","liter","gold","motors","produktion","pipeline","pro","reisebueros","kohle","erwaermung","klimawandel","china","verbraucher","barrel","energien","gas","gold","strom","kernenergie","opec","energien","kogel","tonnen","afrika","energie","rwe","energien","solar","verbraucher","anlagen","meter","kraftwerke","energie","strahlung","mais","energie","rwe","energie","bundesregierung","industrie","windkraft","gabriel","bundesregierung","megawatt","rwe","foerderung","fabrik","greenpeace","ehrenfreund","bauern","energie","klimaschutz","innogy","bauern","venezuela","mals","leistungsbilanz","standards","stadt","emissionen","forscher","co","klimapaket","benzin","hager","stahlindustrie","sassnitz","co","emissionen","emissionen"
"13","bd","landwirtschaft","energie","pro","urlaub","markt","ruhrgas","reisebueros","kunden","produkte","jahr","hapaglloyd","gas","reiten","rund","jahr","grad","pro","schaeden","strom","erneuerbare","barrel","harting","weltweite","gas","kohlendioxid","strom","vattenfall","verbraucher","mais","nachfrage","gabriel","oel","mexiko","energie","klimaschutz","rwe","williams","kernenergie","klimawandel","strom","bp","erdbeben","lebensmittel","anlagen","strom","wasser","pro","eegumlage","wind","oekostrom","klimawandel","wind","anlage","fracking","erwaermung","ausbau","kueste","  ","foerderung","oel","kosten","emissionshandel","bau","barrel","oel","kohle","uniper","umwelt","bord","bundeswirtschaftsministerium","dea","fukushima","heidl","tonne","copreis","landwirtschaft","anlagen","wald","stahl","stream","gas"
"14","verbraucherschutz","verbraucher","bauern","jahr","dollar","landwirtschaft","preis","ruhrgas","gold","preis","barrel","hersteller","autos","nachfrage","pro","china","gemuese","atomenergie","energien","uhlenberg","dollar","tonne","produkte","nachfrage","klimaschutz","strom","klimaforschung","barrel","pro","kohle","bau","foerderung","bau","lechl","gas","globale","versorger","stream","energieversorgung","erde","sprit","kernenergie","gas","energiewende","industrie","bp","ausbau","technologien","erneuerbare","oel","rwe","terium","erneuerbaren","ausbau","gabriel","opec","mengen","oelminister","oel","fossilen","nr","energiewende","mayer","bermann","oelnachfrage","kontinents","nord","femern","energien","erde","raumfahrt","kohle","setad","meer","salzgitter","gas","gigawatt","coemissionen","bauern","  ","toennies","saguaros"
"15","tiermehl","gas","preis","ford","branche","nitrofen","hahn","preis","branche","discounter","oel","tui","tui","hydro","nigeria","claussen","bochum","eeg","opec","verbraucher","hinsche","tonnen","discounter","eon","erwaermung","erdgas","iea","kohlendioxid","erdgas","versorger","erdoel","dollar","klimawandel","milch","atomkraftwerke","regine","ipcc","energiekonzept","klimaschutz","netz","tepco","tokio","tonnen","foerderung","antibiotika","roettgen","energie","see","altmaiers","megawatt","altmaier","energiepolitik","brunsbuettel","foerderung","nordsee","erneuerbare","kosten","tonnen","teyssen","grad","pro","erneuerbaren","ks","umwelt","rutschmann","suedafrika","landwirtschaft","meter","verbleibende","gas","aramco","grad","co","kilometer","verkehr","landwirtschaft","ausbau","schweine","eeg","terminal","nord","klimaneutralitaet"
"16","gentechnik","produktion","dollar","deutschen","pro","mio","bauern","vda","autos","jahr","nachfrage","markt","kanada","millionen","china","nachfrage","liter","klimawandel","nachfrage","eon","energie","verbraucher","muellerroeber","kernenergie","preise","kosten","dollar","strom","produktion","rwe","liter","kerkhoff","klimaschutz","gentechnisch","liter","soldan","kopenhagen","investitionen","kernkraft","rohstoffe","mineraloelwirtschaft","kernkraft","roiss","e","millennium","pro","technologie","wind","ausbau","wallonie","see","verbraucher","unternehmen","erneuerbaren","plaene","meter","eon","cornwall","bauern","oelpreis","afrika","konventionellen","erneuerbare","gas","safa","ausbau","sanktionen","erde","stadt","piraten","strom","wintershall","tiere","gazprom","bepreisung","tonnen","australien","carbon","baeume","nord","klima","klimaschutzgesetz"
"17","opec","oel","kuenast","marken","preussag","deutschen","landwirtschaft","tonnen","reiseveranstalter","branche","strom","neuzulassungen","forster","fass","mio","vw","jahr","oekostrom","piebalgs","mill","verbraucher","industrie","reis","kraftwerke","dollar","pfaffenberger","verbraucher","pro","versorger","gabriel","preis","kohle","ostsee","virus","bernotat","impfstoff","preise","kernkraftwerke","laufzeitverlaengerung","molkerei","produktion","erneuerbaren","verbraucher","bau","energieeffizienz","diederichs","liter","windparks","verbraucher","bauern","betreiber","braunkohle","industrie","wind","gebaut","erneuerbaren","technologien","abbau","klimaschutz","saudiarabien","quellen","kraftwerke","tonnen","barrel","energie","kontinent","brennecke","bau","rwe","asteroiden","elbvertiefung","insel","arbeiter","efuels","auto","e","tonnen","atmosphaere","pipeline","milgrom","wald","strompreise"
"18","klauenseuche","australischen","marken","australischen","produktion","automobilindustrie","autos","dosen","lindenberg","lindenberg","millionen","schnaeppchen","preis","energie","jahr","verbraucher","suedafrika","spar","mexiko","china","branche","energy","nachfrage","jahr","klimawandels","mill","gas","tol","silber","energien","opec","oelpreis","kroener","werner","nachfrage","werften","branche","ruhrgas","mexiko","pro","vertragen","energien","rwe","energien","kosten","anlagen","kosten","netze","energie","nordsee","nordsee","wind","baake","bundesregierung","energien","vattenfall","kohlendioxid","kosten","bau","vattenfall","nord","stromversorgung","bau","innogy","bauern","gas","afrikas","bauman","staedten","bericht","hamburg","raja","klimaschutz","remondis","energieintensiven","coemissionen","oel","gas","energie","wasserstoff","versorgungssicherheit","tonne"
"19","mill","deutschland","landwirtschaft","cook","preise","reisen","enbw","produktion","hersteller","ruhrgas","forster","rohstoffe","nachfrage","gas","liter","markt","bauern","markt","millionen","anlagen","energiepolitik","energien","normung","pro","kohlendioxid","gasfoerderung","kornemann","produktion","gas","stream","bio","rwe","kraftwerke","shiva","foerderung","strom","energiekonzerne","elektromobilitaet","netz","region","reaktoren","erdbeben","kraftwerke","tiere","mw","cent","ostili","kilowattstunde","kilowattstunde","gas","offshore","altmaier","plaene","kilowattstunde","teyssen","bau","kohle","energien","wolken","stadtwerke","bundesregierung","energie","foerderung","subventionen","erneuerbaren","energiewende","pro","energien","grote","stream","raeder","wayag","mozzarella","tuebingen","klimakabinett","wind","gas","branche","emissionen","stream","gigawatt","schweine"
"20","produktion","energie","gas","hersteller","jahr","produkte","t","auto","urlaub","tui","winter","fahrzeuge","kaufhof","tag","mill","elfenbeinkueste","nachfrage","edeka","rohoel","industrie","opec","benzin","eon","organisation","globalen","tonne","rwe","erneuerbare","dollar","preis","lebensmittel","nachfrage","erdgas","slubice","reaktoren","impfen","grad","netz","energiewende","preise","oettinger","atomausstieg","teuer","iea","roesler","golf","technologien","abe","oekostrom","netz","foerderung","klimawandels","bundesregierung","gas","klima","nordafrika","preise","gorleben","atomkraftwerke","klimaschutz","erneuerbare","tonnen","industrie","energie","ostseepipeline","teyssen","umwelt","landwirtschaft","netzbetreiber","kohle","altmaier","schnee","meter","pipeline","kosten","kohlendioxid","energie","wasser","klimaschutz","energie","wasser","urteil"
"21","maul","pro","pro","millionen","veranstalter","australischen","produktion","fahrzeuge","cook","absatz","hersteller","haendler","opec","vw","verbraucher","oelpreis","mill","oelpreis","mandil","energien","bau","tiere","preise","energieversorgung","co","verbraucher","kohlendioxid","lampert","tonnen","moorburg","landwirtschaft","preis","netz","barrel","barrel","luft","erde","afrika","kohle","millionen","kraftstoff","produktion","grossmann","schaeden","solar","netze","kohle","anlagen","umlage","mais","windparks","oekostrom","lizenz","oel","bau","industrie","versorger","gigawatt","kohle","anlagen","magister","landwirtschaft","eon","kohle","stream","klimaschutz","birgit","gas","versuche","strom","kohleausstieg","marx","energieintensiven","winter","energie","klimawandel","kraftwerke","stahl","hassia","schreiber","enbw","klimapolitik"
"22","landwirte","dollar","platin","markt","urlauber","gottschalk","haendler","pro","preise","preise","verbraucher","industrie","tiere","produktion","foerderung","potrykus","preis","branche","jahr","fleisch","atomausstieg","oelpreis","china","erdgas","erneuerbare","foerderung","vattenfall","versorger","industrie","kraftwerke","chicago","pro","eon","lutz","areva","temperaturen","klimaschutz","bhp","stream","lme","fukushima","pro","gentechnisch","strom","liter","investitionen","kitowski","ausnahmen","cent","opec","landwirtschaft","erde","schiffe","kosten","studie","balken","betreiber","wind","windraeder","energie","leboo","braunkohle","fleisch","stadtwerke","uniper","nigeria","kraftwerke","millionen","winter","oel","kosten","tagebau","rumaenischen","cent","waerme","oel","emissionen","benzin","kohle","cornwall","oel","kosten"
"23","preise","schweine","jahr","mio","nachfrage","ltur","jahr","gas","markt","pro","dosen","eon","verbraucher","strom","hapaglloyd","general","winter","autos","liter","preis","umwelt","millionen","gold","erdoel","preis","pro","industrie","kraftwerk","china","kroonenberg","basf","emissionshandel","rwe","baywa","wald","indien","pro","energie","gas","stromverbrauch","preise","atomkraftwerke","mekong","barrel","zubau","schiffe","japanische","eegumlage","windparks","bauer","wind","ausbau","biomasse","kohle","ressourcen","wasser","reaktoren","arktis","hartman","abkommen","energieagentur","israelis","teyssen","rwe","gas","band","teu","co","stromversorgung","norm","wasser","tom","gaskraftwerke","kraftwerke","kohleausstieg","erdgas","uran","erwaermung","hinkel","landwirtschaft","preis","luft"
"24","jahr","fleisch","kunden","kunden","tonnen","jahr","oel","stahlindustrie","vw","produktion","tonnen","preis","dollar","exportierender","gas","branche","wti","tonnen","verbraucher","reiseveranstalter","barrel","landwirtschaft","rwe","fluorid","benzin","waermepumpen","nachfrage","erderwaermung","erneuerbaren","liter","gebaut","konzerne","jahren","nord","kernenergie","erde","bgh","rio","brennelementesteuer","infrastruktur","benzingipfel","eon","lebensmittel","projekt","netz","rahmani","foerderung","bundesregierung","enna","projekte","hartman","erneuerbareenergiengesetz","erneuerbareenergiengesetz","deutschland","foerderung","wind","gas","kohlekraftwerke","dowling","konzerne","kraftwerke","lausitz","uniper","energiewende","hektar","klimawandel","erdmann","oel","reservekraftwerke","einsatz","weltraumgesetz","gazprom","pieper","speicher","autos","preis","windkraft","grad","vogt","africa","tonne","stahl"
"25","gruene","umwelt","automobilindustrie","branche","markt","nachfrage","haunerdinger","rund","rund","markt","liter","pro","barrel","oelpreise","tui","rohoel","millionen","anlagen","orleans","deutschen","erdgas","gold","gentechnik","kohle","klimaforscher","china","kraftwerke","preis","kosten","dollar","investitionen","anlagen","kubikmeter","mikroelektronik","vattenfall","guenther","kohlekraftwerke","kernenergie","kosten","produktion","tanken","meiler","foerderung","energieversorgung","bundesregierung","roesler","quotenmodell","tonnen","industrie","grenzwerte","energie","energiewirtschaft","fracking","umlage","basfchef","rwe","atomkraftwerke","kanada","erdkabel","kanada","blixen","photovoltaik","wasser","enten","nord","doha","tagebau","teyssen","erneuerbaren","schiffe","radwege","wasser","stream","kohleausstieg","feuer","waelder","  ","eeg","windraeder","stroh","waelder","emissionshandel"
"26","pro","millionen","erdgas","mill","agrarwende","rund","krentz","verbraucher","fahrzeuge","verband","iaa","dollar","anlagen","energien","erdoel","bochumer","energie","eon","rund","erwaermung","atomkraft","china","preis","kupfer","opec","klimawandels","massnahmen","gold","edelmetall","chicago","viberg","erneuerbaren","nachfrage","preis","spekulanten","preise","laufzeitverlaengerung","industrie","roettgen","milch","atomenergie","gas","co","japanischen","lebensmittel","preise","preise","dubai","solarbranche","strompreisbremse","sapiens","ghisolfi","standorten","bundesnetzagentur","erwaermung","hinners","atomkraft","lomborg","fukushima","venezuela","nrw","greg","miratorg","ramm","erneuerbare","innogy","norden","klimawandel","harz","weltraumbergbau","scheller","energiewende","meer","  ","steuer","plastik","leistung","fleisch","gas","strom","green","liter"
"27","barrel","opec","katzek","reisen","brennstoffzelle","cook","rahmstorf","bse","liter","einwegverpackungen","berner","kunden","panke","organisation","bpd","rohstoffe","raki","energiewirtschaft","gas","klimawandel","kernkraftwerke","preis","nutzung","dollar","reduzieren","co","kraftwerk","rund","energien","energietraeger","oelpreise","wintershall","bauern","energie","oelpreis","brasilien","pflanzen","energiewirtschaft","pro","bhp","cent","erdgas","gerdes","erneuerbaren","einspeiseverguetungen","reeder","barrel","eeg","strompreise","bau","bauern","peter","erneuerbareenergiengesetzes","bau","gasreserven","kohlekraftwerke","energietraeger","wolf","strom","barrel","dlr","point","greenpeace","klimaschutzplan","terium","erneuerbare","gas","erneuerbare","aachen","nord","fahrrad","miller","eis","bbv","pro","millionen","wald","klimawandel","kracht","grundwasser","gruene","wasserstoff"
"28","hersteller","rover","bmw","rund","verbraucherschutz","pro","sonnleitner","discounter","deutschen","liter","produktion","automobilindustrie","branche","mio","edeka","reis","hersteller","energiepolitik","strom","pro","mecklenburgvorpommern","atomkraft","pro","indien","oelpreis","erneuerbaren","mill","klimawandels","dollarmarke","oelpreis","forstwirtschaft","co","kohle","oel","gabriel","missernten","daibers","zertifikate","eon","kraftwerke","atomkraftwerke","teyssen","datteln","pro","bp","erneuerbare","bau","versorgungssicherheit","laender","hertz","bau","generation","anlage","eon","windparks","anlage","platin","tiefsee","kueste","bau","tonnen","philharmoniker","thyssengas","wasser","produzieren","rindfleisch","stream","sonne","kraftwerke","kapital","daenemark","pater","altmaier","leitung","megawatt","fossilen","pro","tonnen","branche","stahlindustrie","natur","mwh"
"29","beers","jahr","hersteller","bse","rund","energie","industrie","wasserstoff","oelpreis","hersteller","dollar","opec","hersteller","china","strom","eon","greenpeace","jahr","autos","piëch","piëch","emissionsrechte","oelpreis","weltweit","industrie","cent","celsius","globalen","salz","co","rohstoff","kraftwerke","reaktoren","dollar","neue","stahl","bau","gazprom","geden","kohle","kernenergie","barrel","eis","stadtwerke","solaranlagen","kuerzung","bundesnetzagentur","windenergie","kraftwerke","klimaschutz","bard","kraftwerke","kilowattstunde","netz","sigmar","gesellschafter","oelpreis","rohstoffen","lebensmittel","erde","gas","eph","rinder","energiewelt","agrarminister","saudiarabien","erneuerbaren","milch","stadtwerke","region","unmuessig","kohlekommission","versorgungssicherheit","erde","wasserstoff","erneuerbare","windraeder","tieren","landwirtschaft","totholz","bau","tesla"
"30","fischler","tiere","reisen","produzenten","renate","euroeinfuehrung","deutschen","branche","frangialli","juergen","audi","autos","kunden","rund","nachfrage","barrel","temperatur","landwirte","tonnen","jahren","preissteigerungen","reaktoren","versorger","klimawandel","wettbewerb","kraftwerke","kernenergie","grad","indien","subventionen","moorburg","china","kosten","kupfer","erneuerbare","kanada","liter","rahmenbedingungen","laufzeiten","umwelt","liter","katastrophe","laos","nabucco","tankstellen","liter","ktg","gigawatt","lemke","kraftwerke","anlagen","frie","megawatt","megawatt","eeg","ausbau","barrel","rohstoffe","bayern","erdoel","gold","uruguay","projekt","bauern","opec","tonnen","teyssen","umwelt","gas","poroschenko","klima","mnangagwa","lebensmittel","landwirte","millionen","feuer","rukwied","preise","energiewende","klimawandel","pipeline","klimaziele"
