"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14"
"19","mittelstaendler","moskau","preis","rund","praesidenten","frage","eigenkapital","regelung","buch","fed","gaeste","notenbanken","erwartet","wahl"
"20","anbieter","may","kohle","konzerns","staaten","politischen","vermoegen","kommunen","jahre","papiere","mannschaft","europaeische","prognose","seehofer"
"21","telekom","russische","produktion","geschaeftsjahr","israel","wissen","kredite","rente","junge","index","messen","waehrung","oekonomen","afd"
"22","software","pfund","landwirtschaft","daimler","regierung","fragen","kapital","clement","kind","aktienmaerkte","kunst","usa","nachfrage","wahlkampf"
"23","arbeiten","europa","bauern","bayer","donald","marktwirtschaft","immobilie","gesetzlichen","tag","experten","liga","waehrungsunion","erholung","bundestagswahl"
"24","unternehmer","referendum","foerderung","vw","russland","beispiel","renditen","gewerkschaft","geschichte","rendite","euro","schulden","weltwirtschaft","bundestag"
"25","produkte","ukraine","klimawandel","volkswagen","uspraesident","bevoelkerung","sparer","fordert","jungen","quartal","koeln","zinssenkung","bip","opposition"
"26","geschaeft","polen","industrie","aktionaere","afghanistan","brauchen","commerzbank","duerfen","zeit","woche","besucher","finanzmaerkte","firmen","berlin"
"27","chef","praesident","anlagen","verkauf","demokraten","sicherheit","mieter","vorschlag","schule","leitindex","mark","rezession","befragten","gabriel"
"28","gruender","landes","erneuerbare","lufthansa","amerikanischen","denken","bafin","betriebe","sohn","maerkte","hotels","krise","anstieg","liberalen"
"29","berater","union","liter","dollar","new","verantwortung","risiko","regelungen","kindern","wall","reisen","kredite","kommenden","merkels"
"30","beispiel","austritt","jahr","ersten","republikaner","wissenschaft","wirecard","verfahren","macht","plus","touristen","wachstum","rechnet","amt"
"31","deutschland","johnson","nachfrage","konzernchef","welt","bildung","mieten","bahn","alt","morgan","klubs","maerkte","verbraucher","gerhard"
"32","facebook","italien","kosten","ergebnis","dollar","recht","institute","regierung","hause","dow","sport","oekonomen","plus","bayern"
"33","amazon","koenigreich","oelpreis","thyssenkrupp","xi","wohlstand","anleihen","entwurf","job","freitag","universitaeten","staaten","vorjahr","linken"
"34","markt","berlusconi","ausbau","sap","chinesen","zeit","private","deutschland","alten","street","geschaeftsfuehrer","waehrungsfonds","prognosen","politik"
"35","geschaeftsfuehrer","russlands","dollar","bmw","hongkong","politische","immobilienfonds","handelsblatt","uhr","gewinne","hotel","leitzinsen","rechnen","mehrheit"
"36","mittelstand","sarkozy","wasser","branche","soldaten","gerade","frankfurt","bundestag","arbeit","markt","bundesliga","wirtschaft","zahl","westerwelle"
"37","management","premierminister","erdgas","konkurrenten","george","macht","kaeufer","betroffenen","sitzt","boersianer","hochschule","anleihen","gestiegen","regierung"
"38","nutzer","cameron","branche","operative","amerikanische","herr","investieren","urteil","bisschen","anlegern","universitaet","geld","monaten","gruene"
"39","familienunternehmen","grossbritanniens","gold","hersteller","york","system","finanzkrise","kosten","kirche","usnotenbank","veranstalter","regierung","exporte","soeder"
"40","informationen","insel","umwelt","vorjahr","amerikas","arbeit","versicherungen","union","liebe","renditen","fans","japan","umfrage","ministerpraesidenten"
"41","nutzen","argentinien","bau","operativen","region","glaube","deutschen","koalition","gibt","staatsanleihen","quadratmeter","leitzins","erwarten","linke"
"42","computer","europaeische","cent","kunden","sanktionen","geht","banker","sprecher","film","haendler","veranstaltungen","finanzmaerkten","bruttoinlandsprodukt","umfragen"
"43","intelligenz","ungarn","bp","autos","nato","verstehen","branche","geplante","konnte","aktienkurse","  ","europa","china","scholz"
"44","technik","politische","wind","zahlen","westen","vertrauen","investment","bundes","alte","zinsen","aussteller","yen","zweiten","kohl"
"45","apple","frankreichs","rund","boerse","syrien","rolle","allianz","gesetzentwurf","frueher","fiel","tourismus","trichet","stimmung","muentefering"
"46","berger","verhandlungen","energieversorgung","boersengang","biden","angst","hedgefonds","mindestlohn","stunden","aktienindex","klub","finanzminister","minus","bundeskanzlerin"
"47","gibt","eustaaten","grad","ag","vereinigten","politiker","investiert","milliarden","haus","titel","senat","konjunktur","vergangenen","laschet"
"48","microsoft","erdogan","hersteller","vergangenen","barack","buch","vermieter","massnahmen","beruf","fondsmanager","hannover","bank","duerfte","schaeuble"
"49","netz","brasilien","emissionen","unternehmens","landes","gesellschaftlichen","anbieter","gesetzgeber","geht","aktienmaerkten","bachelor","risiken","stark","bundeskanzler"
"50","neuen","paris","rohstoffe","aufsichtsrat","europaeer","richtig","ertraege","bundesrat","kunst","vergangenen","hansestadt","weltwirtschaft","halbjahr","stimmen"
"51","innovationen","kommission","millionen","vorstand","clinton","autor","kredit","forderung","gut","notierte","hoeness","bernanke","vergleich","macron"
"52","business","eukommission","markt","hauptversammlung","indien","generation","jahren","bundesfinanzminister","lebt","commerzbank","dortmund","notenbanker","arbeitslosigkeit","kanzleramt"
"53","werbung","konservativen","erdoel","fusion","arabischen","entscheidungen","investmentbanking","forderte","gefuehl","euro","spiele","spanien","ersten","merz"
"54","deutschen","theresa","erde","basf","putin","kapitalismus","kaufen","gesetzliche","gerne","mdax","bremen","greenspan","lage","minister"
"55","gerade","praesidenten","kohlendioxid","bank","beziehungen","aufgabe","privatanleger","laender","angst","erwartet","gmbh","duisenberg","wirtschaftsforschung","politischen"
"56","deutsche","regierungschef","netz","verlust","volksrepublik","darf","privaten","rentenversicherung","kopf","analyst","flughafen","inflationsrate","wirtschaftswachstum","steinbrueck"
"57","technologien","abkommen","megawatt","halbjahr","weissen","braucht","bieten","gericht","fragt","jones","absolventen","milliarden","eurozone","fraktion"
"58","industrie","franzosen","tonne","air","armee","kultur","beispielsweise","patienten","bilder","verlor","kuenstler","finanzkrise","wirtschaftsleistung","schulz"
"59","beratung","hollande","wasserstoff","mitarbeiter","gewalt","oekonomischen","anlegern","vorschlaege","mensch","zaehler","spielen","regierungen","steigen","horst"
"60","siemens","politischen","jahren","dividende","nordkorea","geschichte","ackermann","kassen","ging","erholung","urlauber","zinssenkungen","usa","parteichef"
"61","technologie","regierungschefs","eeg","airbus","w","lernen","kapitalmarkt","regeln","namen","donnerstag","vereine","griechischen","institut","gewaehlt"
"62","partner","premierministerin","kernenergie","porsche","nahen","jahrhundert","preise","arbeitsplaetze","maedchen","konjunkturdaten","master","usnotenbank","branchen","parteitag"
"63","online","chirac","erwaermung","aktienkurs","fuehrung","grenzen","eigentuemer","heisst","erinnert","kurs","muenchner","chefvolkswirt","jahres","linkspartei"
"64","ag","mehrheit","deutschland","kaeser","terror","debatte","finanzaufsicht","oeffentlichen","strasse","bundesanleihen","wm","bundesbank","trotz","sonntag"
"65","konzerne","sozialisten","autos","autobauer","europa","integration","kfw","kritisierte","roman","goldman","tui","zentralbanken","punkte","lindner"
"66","unternehmensberatung","wladimir","versorger","opel","militaerische","institutionen","geschaeft","koenne","tod","unternehmen","schueler","griechenlands","rund","edmund"
"67","kommunikation","europas","tiere","markt","terroristen","begriff","geldanlage","arbeitsmarkt","karriere","rund","league","preisstabilitaet","insgesamt","wahlen"
"68","beispielsweise","franzoesischen","benzin","gesamtjahr","politische","handeln","lebensversicherung","finanzminister","geboren","deutlich","hsv","griechische","niveau","landtag"
"69","job","spanien","lebensmittel","sparte","taliban","ordnung","darlehen","geplanten","lang","jp","stuttgart","ezbpraesident","gesunken","koalitionspartner"
"70","studie","tuerkische","energiepolitik","tochter","kongress","veraenderungen","wertpapiere","eukommission","musik","maerkten","uni","waehrungshueter","export","kandidaten"
"71","silicon","beitritt","landwirte","management","westlichen","gefuehl","unternehmen","umsetzung","all","dienstag","zwei","deflation","aussichten","landtagswahl"
"72","haeufig","partei","kilometer","knapp","terrorismus","finden","investments","einfuehrung","wissen","notenbanken","platz","athen","folge","steinmeier"
"73","cloud","wahlen","gruene","analyst","frieden","laesst","produkte","cdu","reden","goldpreis","team","ezbrat","wirtschaftliche","rotgruen"
"74","thema","de","mengen","abschreibungen","osten","gesellschaftliche","institut","bdi","essen","new","bau","portugal","konjunkturelle","buendnis"
"75","kollegen","bruesseler","bundesregierung","uebernahmen","wto","interessen","wert","mrd","gern","verluste","sponsoren","federal","einzelhandel","abgeordneten"
"76","wettbewerb","londoner","kuenast","gm","teheran","ueberhaupt","deutsche","kritik","lesen","stimmung","sommer","laender","einbruch","politiker"
"77","arbeitgeber","iwf","shell","stieg","mexiko","schaffen","ikb","erhalten","kennt","erwarten","wohnungen","euros","volkswirtschaft","politische"
"78","heute","tuerkischen","atomkraftwerke","erwartet","kim","falsch","laufzeit","beitraege","art","stieg","stadion","geldpolitischen","studie","helmut"
"79","kunde","aussenminister","energiewirtschaft","finanzvorstand","regime","jahrhunderts","transaktionen","darf","gesagt","verloren","semester","liquiditaet","produktion","regieren"
"80","bereich","franzoesische","fleisch","weltweit","militaer","gerechtigkeit","miete","rechtsunsicherheit","the","bonds","frankfurt","massnahmen","volkswirte","bundesregierung"
"81","maschinen","madrid","stromerzeugung","kosten","saudiarabien","probleme","verkauf","wirtschaftsminister","freunde","duerften","rund","lagarde","konsumenten","rede"
"82","chefs","opposition","e","insgesamt","militaerischen","fuehrt","portfolio","hartz","wort","mittwoch","olympischen","irland","erwartungen","debatte"
"83","produkt","italiens","investitionen","gestern","suedkorea","wissenschaftler","jain","gutachten","glueck","duerfte","nuernberg","mario","wachsen","buergermeister"
"84","mittelstaendische","binnenmarkt","betreiber","verkauft","politischen","forschung","bonitaet","vorgaben","augen","unsicherheit","schulen","erholung","staerker","wirtschaftsminister"
"85","valley","juncker","kernkraftwerke","finanzchef","demokratie","herausforderungen","geldhaeuser","millionen","geld","oelpreis","schalke","schaeuble","zuwachs","fischer"
"86","media","boris","kohlekraftwerke","teilte","krieges","weise","hohe","kuendigungsschutz","schueler","zaehlern","drei","uswirtschaft","haushalte","berliner"
"87","innovation","wirtschaft","emissionshandel","fahrzeuge","jinping","oekonomische","landesbanken","aerzte","kleine","stand","studierenden","griechen","steigende","kabinett"
"88","vorstand","reformen","stream","gut","usregierung","dinge","immobilienmarkt","hans","erzaehlen","zehnjaehrigen","veranstaltung","senken","einschaetzung","konservativen"
"89","it","russen","nord","manager","westliche","glauben","finanzierung","fordern","gesicht","marke","duesseldorf","weidmann","oecd","themen"
"90","bertelsmann","neuwahlen","iea","loescher","obamas","ungleichheit","aktienfonds","minister","gemacht","geldpolitik","galerie","eurolaender","diw","nordrheinwestfalen"
"91","startup","england","klima","airlines","nationen","fortschritt","regel","fall","stolz","uswirtschaft","urlaub","reformen","leicht","wolfgang"
"92","aufsichtsrat","putins","weltweit","marken","saddam","problem","makler","forderungen","familien","wert","berlins","zinserhoehung","bruttoinlandsprodukts","wulff"
"93","sap","tories","mill","chrysler","asien","neue","kauf","kritisiert","los","knapp","galerien","unsicherheit","zahlen","ruettgers"
"94","buero","monti","erneuerbarer","fluggesellschaft","islamischen","wandel","beispiel","bundesagentur","ddr","markets","thomas","glaeubiger","optimismus","schroeders"
"95","geraete","stimmen","fass","steuern","moskau","idee","kosten","beschlossen","arbeiten","indizes","polizei","anleihekaeufe","sank","parlament"
"96","anbieten","kontinent","gruenen","audi","afrika","werte","wohnung","rentner","irgendwann","montag","pro","geldmenge","privaten","franz"
"97","arbeitet","korruption","fukushima","muenchener","aegypten","einzelnen","milliarden","behoerden","lehrer","gestiegen","kunstmarkt","reserve","preise","mueller"
"98","gmbh","europaeer","stromversorgung","laufenden","partei","moderne","konditionen","ministerium","wusste","vermoegensverwalter","spiel","notenbankchef","vormonat","buerger"
"99","fragen","auslaendische","teyssen","monaten","pakistan","mensch","quadratmeter","arbeitslosen","maennern","kursen","gebaeude","eurostaaten","ausgaben","muesse"
"100","stellen","brown","energietraeger","marke","verbuendeten","politisch","grossbanken","staat","draussen","kursgewinne","hamburgs","finanzsystem","ausland","pds"
"101","geht","parteien","energieagentur","absatz","konflikt","mag","krediten","klage","buero","china","meter","japans","dihk","spdchef"
"102","digital","irland","rohoel","deutlich","iranischen","fehler","gibt","behoerde","schoen","strategen","hauptstadt","gefahr","laut","bundespraesident"
"103","weltweit","kreml","atomkraft","bilanz","kampf","bedeutet","muenchen","industrie","publikum","stanley","leipzig","vertrauen","krise","koch"
"104","gute","finanzminister","kupfer","drei","nation","bundesrepublik","kunde","solle","jahren","sachs","tuerkei","maerkten","abschwung","waehlen"
"105","geschaeftsmodelle","verfassung","pflanzen","belegschaft","taiwan","aengste","verluste","vorhaben","schriftsteller","york","champions","investoren","beschaeftigung","roesler"
"106","kuenstliche","abstimmung","versorgungssicherheit","prognose","japan","entwicklung","westlb","zusaetzliche","zwei","konjunktur","professoren","euroland","instituts","csuchef"
"107","umsatz","mrd","fossilen","rechnet","john","sinne","hohen","haushalt","alter","hsbc","studiengaenge","oekonom","dritten","rotgruenen"
"108","technischen","ministerpraesident","produzieren","ebit","internationale","realitaet","wohnen","beschaeftigung","arbeitet","deutsche","ausbildung","volkswirte","experten","kritik"
"109","gut","konservative","betrieb","wettbewerber","internationalen","sozialer","landesbank","staatliche","ersten","usdollar","a","verschuldung","konjunkturellen","landtagswahlen"
"110","belegschaft","ankara","saudiarabien","produktion","aussenpolitik","antwort","zehn","foerderung","abend","nachmittag","abgesagt","esm","gegenueber","wolle"
"111","post","deal","strompreise","erwirtschaftet","truppen","umgang","lebensversicherungen","vorliegt","generation","stark","sammler","wechselkurs","milliarden","fraktionschef"
"112","betrieb","mitgliedstaaten","china","general","vereinten","art","gebuehren","steuer","mag","stoxx","bundesweit","waehrungen","durchschnitt","lafontaine"
"113","schnell","umfragen","meter","wegen","li","bedeutung","dresdner","krankenkassen","freund","nasdaq","borussia","washington","steigenden","abgeordnete"
"114","wirtschaftspruefer","nordirland","stahl","aktionaeren","iranische","leute","basel","hoehe","laesst","gestern","barcelona","basispunkte","naechsten","gegner"
"115","geschaeftsmodell","beziehungen","fahrzeuge","minus","pekings","eigene","versicherungswirtschaft","koalitionsvertrag","heimat","s","studieren","italiens","trend","beck"
"116","meist","blair","produkte","umsatzes","abkommen","fluechtlinge","rating","iv","tun","anstieg","teams","institute","prozentpunkte","sigmar"
"117","mittelstaendischen","kiew","klimawandels","marktfuehrer","waffen","strukturen","verkaufen","zahlen","gott","steigende","besuchern","amerikanische","branche","koehler"
"118","datenschutz","schottland","reaktoren","monsanto","israels","wirklichkeit","kreditinstitute","vorschriften","sitzen","kursverluste","stattfinden","billionen","laufenden","thema"
"119","branchen","staatspraesident","anlage","zukaeufe","demokratischen","geworden","verkauft","wolfgang","dinge","p","spanien","wirtschaftsleistung","lag","reformen"
"120","netzwerk","staaten","jaehrlich","laufende","volk","fuehren","mrd","bundeswirtschaftsminister","minuten","steigen","bewerber","italienische","vierten","finanzminister"
"121","angebote","lateinamerika","vattenfall","henkel","uspraesidenten","oekonomie","haeuser","arbeitslosengeld","tochter","merrill","reiseveranstalter","amerikanischen","stieg","legislaturperiode"
"122","wissen","moskauer","kilowattstunde","autoindustrie","auslaendische","besteht","equity","arbeitslose","kollegen","lag","st","italienischen","prognostiziert","kandidat"
"123","verlage","david","hektar","vorjahreszeitraum","strafzoelle","zeiten","investmentfonds","richter","journalisten","asset","mio","of","ausfuhren","grosse"
"124","sat","abgeordneten","zehn","kuendigte","september","diskussion","einlagen","beschaeftigte","findet","zugelegt","vereins","japanische","kurzarbeit","frau"
"125","ki","einigung","windkraft","erloese","anschlaege","weit","estate","gesetzlich","steht","investment","flaeche","staatsverschuldung","unsicherheiten","ruecktritt"
"126","rtl","barroso","wald","nettogewinn","zoelle","mittelschicht","anlage","aenderungen","gerade","legte","buergermeister","ezbchef","maschinenbau","vorsitzenden"
"127","kleine","gazprom","gentechnik","marktanteil","weisse","sinn","anlegen","schmidt","lebens","lynch","teilnehmer","jeanclaude","zulegen","waehlern"
"128","hersteller","labour","produzenten","milliarde","bushs","erfolg","erwirtschaften","steuerreform","buecher","monaten","plaetze","wirtschaftswachstum","sechs","aussenminister"
"129","konkurrenz","  ","gigawatt","winterkorn","russischen","all","anteil","hundt","lieber","schwellenlaendern","koelner","geldpolitische","optimistisch","guido"
"130","arbeit","medwedjew","teurer","steigern","reich","reformen","vermoegensverwaltung","pruefen","fernsehen","fielen","zuschauer","tsipras","laendern","gesagt"
"131","homeoffice","rumaenien","sonne","anteile","anschlaegen","fehlt","jahre","steuern","fand","steigenden","deutschen","zinsschritt","weltkonjunktur","land"
"132","erfolg","spanischen","autofahrer","angaben","amerikanern","oeffentlichkeit","lebensversicherer","lohn","kurz","wochen","arena","finanzpolitik","jahren","badenwuerttemberg"
"133","ideen","griechenland","gebaut","kapitalerhoehung","haus","medien","jahr","streit","klingt","nachrichten","staedte","schuldenkrise","bundesregierung","generalsekretaer"
"134","service","rom","oekologischen","hiess","bevoelkerung","chance","finanzbranche","bundesverband","nacht","gemeinschaftswaehrung","angebot","eurokrise","binnennachfrage","innenminister"
"135","roland","wahl","region","mitarbeitern","chinesischer","genau","niedrigen","verdi","deutsch","talfahrt","premiere","land","wachstums","reihen"
"136","produkten","slowakei","schiffe","autohersteller","westens","ideen","haus","buerger","tage","finanzmaerkten","gebaut","niedrigen","ifoinstitut","nrw"
"137","knowhow","parlamentswahlen","umweltminister","dritten","hussein","herausforderung","hoehere","bundeslaender","leuten","stiegen","kiel","kreditvergabe","zeigt","regiert"
"138","bietet","brexits","energy","metro","russische","verhalten","ubs","klagen","bild","notiert","werder","japanischen","knapp","runde"
"139","standort","josé","energiekonzerne","continental","bagdad","wettbewerb","liquiditaet","wirtschaft","geworden","fonds","projekt","gesenkt","einkommen","christdemokraten"
"140","qualitaet","euaustritt","kraftwerken","verkaufen","kabul","antworten","papiere","erbschaftsteuer","kultur","meint","ausstellungen","schuldenschnitt","daten","niederlage"
"141","genau","nationalen","atomausstieg","angekuendigt","demokratische","form","verbraucherschuetzer","zeitarbeit","bruder","dz","ag","alan","angesichts","hessen"
"142","konkurrenten","vereinigte","winter","boeing","israelischen","erleben","objekte","antrag","polizei","yen","ort","lage","belebung","juergen"
"143","team","tschechien","teuer","geplant","hauptstadt","loesen","erzielen","hiess","verlag","bundesanleihe","flaechen","internationalen","gewachsen","bayerische"
"144","befragten","investoren","opel","groesste","polizei","sozial","verbraucherzentrale","altmaier","lange","unten","oesterreich","volkswirtschaften","duerften","volkspartei"
"145","gegruendet","le","atomenergie","sank","korruption","gegenteil","geldhaus","kompromiss","welt","inflation","jahr","sitzung","positive","regierungschef"
"146","plattform","sanktionen","erderwaermung","groessten","sieg","vielmehr","vermoegensverwalter","loesung","begann","positive","zahl","strukturreformen","gfk","bund"
"147","konzern","schweiz","preisen","plus","republikanischen","erkennen","versicherung","gesetzes","dorf","handel","fach","erhoehen","arbeitslosenquote","fluechtlinge"
"148","investieren","waehrung","windparks","umsaetze","yuan","laendern","real","einnahmen","hoert","waehrungen","abitur","folgen","sinken","huber"
"149","dienstleistungen","polnischen","anteil","neun","fuehrer","generationen","langfristig","recht","sprache","rezession","stiftung","niedrig","stagnation","links"
"150","vertrieb","vertrag","technologien","bosch","irakischen","solidaritaet","riesterrente","zahl","kennen","unternehmensanleihen","fifa","stabilitaet","bundesamt","sachsen"
"151","entwickeln","italienische","eegumlage","lag","kerry","grosse","beteiligungen","verordnung","studiert","investmentbank","arbeiten","null","september","wowereit"
"152","beschaeftigten","minister","klimapolitik","kerngeschaeft","pekinger","funktioniert","anlagen","ausgaben","erste","juengsten","business","preise","laufende","liberale"
"153","taetig","zollunion","nordsee","trotz","sicherheit","geben","gesellschaften","plaene","faehrt","feinunze","bewerbung","defizit","statistische","frage"
"154","marketing","unterhaus","milch","zweiten","russen","land","aktionaere","gefordert","jugend","kletterte","schleswigholstein","probleme","aktuelle","reden"
"155","plattformen","nicolas","afrika","ende","bedrohung","fuehlen","zins","gebe","wohnung","waehrung","van","bundesbankpraesident","unsicherheit","kurt"
"156","beschaeftigt","woche","bse","allianz","angriff","parteien","anleihe","arbeitnehmern","geschrieben","notenbank","uldall","staatsschulden","wachstumsraten","vorsitzende"
"157","erfolgreich","waehrungsfonds","pipeline","legte","amerikanischer","erfahrungen","hoehe","betonte","auto","tecdax","qualitaet","stark","unten","krampkarrenbauer"
"158","eigene","unabhaengigkeit","fossile","holding","laender","entwickeln","summe","moeglich","dachte","schwankungen","berichtet","steigen","iw","fluechtlingspolitik"
"159","managern","italiener","studie","eads","kalten","oeffentlichen","geschaeftsfuehrer","warnte","ort","schwellenlaender","halle","efsf","positiven","volksparteien"
"160","ingenieure","westen","golf","kauf","schanghai","diejenigen","rund","abschaffung","erlebt","landesbank","start","pleite","zuversicht","guttenberg"
"161","bitkom","verbleib","windraeder","geschaefte","uhr","stimmt","mietendeckel","gelten","spricht","marktteilnehmer","vertrag","fedchef","institute","neuwahlen"
"162","erfahrung","silvio","gefoerdert","abgelaufenen","millionen","politischer","angebot","ba","wirkt","vortag","cook","politik","statistischen","agenda"
"163","springer","mexiko","windenergie","handelsblatt","islamisten","natur","frankfurter","betrieben","moechte","management","reisewarnung","spielraum","april","sozialdemokratischen"
"164","entwickelt","warschau","produziert","konkurrenz","treffen","armut","postbank","einkommen","herum","zentralbank","region","schwellenlaender","kraeftig","bayerischen"
"165","prozesse","osteuropa","oekostrom","konnte","konflikte","professor","kreditvergabe","bruessel","ziemlich","quartalszahlen","museen","donnerstag","drei","anhaenger"
"166","unternehmensberater","la","kunden","fuenf","demonstranten","wirtschaftlichen","meist","erklaerte","sah","rechnen","geld","zins","zew","nachfolger"
"167","kirch","françois","automobilindustrie","konkurrent","transatlantischen","themen","raet","erhoehung","schrieb","erwartungen","reisebueros","hoehere","schwache","stimme"
"168","dienstleister","italienischen","verbrauch","erklaerte","diktator","theorie","alter","steuereinnahmen","fotos","positiv","studiums","volkswirtschaft","hohe","friedrich"
"169","mckinsey","athen","mio","ebitda","wall","jahrzehnte","depot","vorstoss","leser","kgv","angaben","fiskalpolitik","auswirkungen","verantwortung"
"170","bieten","unsicherheit","meer","konzerne","aussenminister","lassen","fuenf","bundesverfassungsgericht","machte","stratege","professor","krediten","positiv","schwarzgelb"
"171","personal","harten","handel","beteiligung","indonesien","these","aufseher","sprecherin","gehoert","legten","christian","lockerung","handelsblatt","konservative"
"172","moeglichkeiten","auslaendischen","mais","oracle","irans","loesungen","gewinne","dihk","gelernt","zehnjaehrige","branche","chefoekonom","wachstumsprognose","beust"
"173","technische","mays","kanada","eon","globalen","entsteht","fall","entscheidung","morgen","bewertet","buchungen","vereinigten","jahreshaelfte","kanzlerkandidat"
"174","handelsblatt","bulgarien","bauen","group","shanghai","verstaendnis","ey","praxis","spass","eurozone","kostet","kurs","iwf","clement"
"175","innovative","laender","kueste","zetsche","hillary","wahrheit","gerade","csu","lernen","capital","olympia","verhindern","gesamtjahr","genossen"
"176","krise","waehler","energieversorger","gewinnwarnung","weltkrieg","perspektive","privatkundengeschaeft","arbeiten","satz","edelmetall","fliegen","prozentpunkt","januar","nahles"
"177","zukunft","istanbul","venezuela","kurs","buergerkrieg","funktionieren","laut","mitarbeiter","stunde","depot","museum","lira","liegt","roettgen"
"178","muenchen","vereinigten","welt","diesel","scharon","vergangenheit","experten","arbeitgebern","literatur","europaeischen","spielern","anstieg","hohen","delegierten"
"179","consulting","politisch","kapazitaeten","motors","handelskrieg","letztlich","kreditwirtschaft","beschluss","traegt","gaben","foto","issing","oelpreis","niedersachsen"
"180","fuehrungskraeften","eugipfel","projekt","umbau","tuerkei","sprache","vergangenen","steinbrueck","geschichten","hoeher","adidas","franken","gewerbe","streit"
"181","dienste","amt","oelpreise","toyota","israelische","gesellschaften","sparkasse","leistungen","liess","groessten","dresden","lehman","wegen","demokratie"
"182","marken","eumitgliedschaft","kernkraft","airline","joe","modernen","vorstand","verbaende","stimme","usboersen","studierende","risiko","anteil","wahlergebnis"
"183","arbeitsplatz","parlaments","netzbetreiber","werk","irakkrieg","thema","zertifikate","schaeuble","her","bewertungen","hafen","kapital","handel","koalitionsverhandlungen"
"184","app","berlusconis","oekologisch","margen","israelis","leisten","deutlich","pflicht","hoeren","ausblick","dfb","rom","index","bayerns"
"185","finden","rubel","rohstoffen","flugzeuge","islam","wirtschaft","emittenten","vorgesehen","wollten","emerging","coronavirus","bankensystem","hierzulande","spahn"
"186","brauchen","maerz","stadtwerke","aufsichtsratschef","wahl","zweitens","policen","bundeshaushalt","morgens","gefallen","uhr","tokio","zurueckgegangen","olaf"
"187","wettbewerber","polnische","nutzung","jahres","wahlen","stellen","leasing","vorsitzende","abends","korrektur","reise","erwartet","juli","peer"
"188","verdienen","polens","diesel","verluste","trade","richtige","vergleich","vereinbart","fahren","ubs","oktober","europaeer","dynamik","schmidt"
"189","lieferanten","region","neue","groesster","arabische","erkenntnis","tabelle","gemeinden","wasser","kraeftig","bvb","turbulenzen","impulse","zustimmung"
"190","zeit","internationalen","ausstoss","mercedes","geschichte","gehoert","wohnimmobilien","geben","beginnt","notierten","architekten","sparer","aussenhandel","christian"
"191","suchen","sieg","japan","ausblick","vietnam","debatten","aufsicht","faellen","tuer","erneut","art","fonds","jahresende","bundeswehr"
"192","duesseldorf","spaniens","energiebranche","chef","street","laengst","verdienen","kraft","schaut","kaufen","madrid","wim","private","fluechtlingskrise"
